MONTH;YEAR;MOL MAGYAR OLAJ-ES GAZIPARI;OTP BANK;RICHTER GEDEON;MAGYAR TKOM.TELECOM.;BUDAPEST ELECTRICITY;4IG NYILVANOSAN;ALLAMI NYOMDA;ALTEO ENERGY;ALTERA WEALTH MANAGEMENT;APPENINN NYILVANOSAN;BPT.PR.UTILIZATION&.DEV.;CIG PANNONIA LIFE IN.;CSEPEL HOLDING;DUNA HOUSE HOLDING;EHEP SHARE;ENEFI ENERGY;EST MEDIA;EXTERNET;FHB SHARE;FINEXT SHARE;FORRAS FORRAS/T;FUTURAQUA;GRAPHISOFT PARK SE SHARE;KARTONPACK;KEG CTL.EUR.LPG TERM.;KEY SOFT;KONZUM TRDG.&.INDL.;MASTERPLAST;NORDTELEKOM TELECOM.SX.;NTH.HUNGARIAN ELTY.SUPP.;NUTEX INVESTMENTS;OPMIUS GROUP;ORMESTER;OTT ONE;PANNERGY;PANNON VALTO;PLOTINUS HOLDING;RABA AUTOMOTIVE GP.;TR INVESTMENT;ZWACK UNICUM;ADIDAS (BUD);ARCELORMITTAL (BUD);AXA (BUD);BANCO SANTANDER (BUD);BASF (BUD);BAYER (BUD);BBV.ARGENTARIA (BUD);BMW (BUD);BNP PARIBAS (BUD);COMMERZBANK (BUD);DAIMLER (BUD);DEUTSCHE BANK (BUD);DEUTSCHE LUFTHANSA (BUD);E ON (BUD);INFINEON TECH 'N' (BUD);LINDE (BUD);NOKIA (BUD);SIEMENS (BUD);TELEFONICA (BUD);THYSSENKRUPP (BUD);TOTAL (BUD);ERWOJ.TURBO LONG 03 CKT.;ERWOJ.TURBO LONG 70 CKT.;FORRAS TRUST & INV.
1;2004;-0.002250563;0.013220339;0.030372933;-0.008403361;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.013518214;NA;-0.004282655;NA;0.001315789;NA;NA;0;NA;NA;0;NA;NA;-0.001976285;0.036145059;0.048387097;NA;NA;0;0.002061856;NA;0;NA;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;-0.005263158;-0.008029441;-0.000186567;0.004842615;0.030927835;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.026675819;NA;-0.005376344;NA;-0.006570302;NA;NA;0;NA;NA;0;NA;NA;-0.008910891;0.034884168;-0.015384615;NA;NA;0.003597122;0;NA;-0.005649718;NA;0.013071895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;2004;0.015873016;0.011467116;0.007464079;0.018072289;-0.006666667;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.027390893;NA;-0.005405405;NA;0.006613757;NA;NA;0;NA;NA;0;NA;NA;0;-0.011236094;-0.015625;NA;NA;-0.010752688;0;NA;-0.005681818;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.006504065
2;2004;-0.00297619;-0.012004001;-0.014632339;0.002366864;-0.006711409;NA;NA;NA;NA;NA;-0.198305085;NA;0;NA;0;NA;0.056341045;NA;0.011956522;NA;0;NA;NA;0;NA;NA;0;NA;NA;0.001998002;0;-0.015873016;NA;NA;-0.036231884;0;NA;0.005714286;NA;-0.032258065;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;2004;-0.005223881;-0.017212285;-0.007706767;-0.010625738;-0.016554054;NA;NA;NA;NA;NA;0.139534884;NA;0;NA;0;NA;0.053320437;NA;0.001074114;NA;0;NA;NA;0;NA;NA;0;NA;NA;0.007976072;-0.022727558;0.016129032;NA;NA;-0.007518797;0;NA;-0.005681818;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001636661
2;2004;0.002250563;0.018200549;-0.003599167;0.003579952;0.000687049;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.025310644;NA;-0.004291845;NA;0.024967148;NA;NA;0;NA;NA;0.063829787;NA;NA;0.016815035;-0.023256112;0;NA;NA;0.007575758;-0.002057613;NA;0.005714286;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001633987
2;2004;0.003742515;-0.018549747;-0.011406844;0.003567182;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.025967909;NA;0.001077586;NA;-0.006410256;NA;NA;0;NA;NA;0;NA;NA;-0.007782101;0.035714755;0;NA;NA;0;0.002061856;NA;-0.005681818;NA;0.033333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;2004;0.01715138;0.025773196;-0.008846154;0.003554502;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.012662727;NA;-0.001076426;NA;-0.012903226;NA;NA;0;NA;NA;0;NA;NA;0.008823529;0.011494399;0.015873016;NA;NA;0.018796992;0;NA;-0.005714286;NA;-0.031612903;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.016366612
2;2004;0.007331378;0.003350084;-0.033760186;-0.008264463;0.028149674;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;0.007543103;NA;0.018300654;NA;NA;0;NA;NA;-0.07;NA;NA;-0.02526725;-0.022727558;-0.015625;NA;NA;0.022140221;0;NA;-0.017241379;NA;0.059293804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;2004;0.001455604;-0.002671119;-0.036144578;-0.029761905;-0.011686144;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;0.001069519;NA;-0.060333761;NA;NA;0;NA;NA;-0.096774194;NA;NA;0.000997009;0;0.015873016;NA;NA;0.025270758;0;NA;-0.011695906;NA;-0.037735849;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.014975042
