MONTH;YEAR;ENERGIJOS SKIRSTYMO OPERATORIUS;TELIA LIETUVA;AGROWILL GROUP;AMBER GRID AB;APRANGA;GRIGISKES;GUBERNIJA;INVALDA;INVL BALTIC FARM;INVL TECHNOLOGY;K2 LT AB;KAUNO ENERGIJA;KLAIPEDOS NAFTA;LIETUVOS ENERGIJA;LINAS;LINAS AGRO GROUP;LITGRID;PANEVEZIO STATYBOS TTAS.;PIENO ZVAIGZDES;ROKISKIO SURIS;SIAULIU BANKAS;SNAIGE;UTENOS TRIKOTAZAS;VILKYSKIU PIENINE;VILNIAUS BALDU KOMBINATA;VILNIAUS DEGTINE;ZEMATIJOS PIENAS
6;2003;NA;0.018867925;NA;NA;0;-0.021276596;0;0.024390244;NA;NA;NA;0;0.043478261;NA;0;NA;NA;0;0;0;0.076923077;0.006734007;0;NA;0;0;0
6;2003;NA;0;NA;NA;0;0.02173913;0;-0.023809524;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.06097561;0;0;-0.051622419;NA;0;0;0
7;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;-0.024390244;-0.057471264;0;0;0.029548989;NA;0.013363029;0;0
7;2003;NA;-0.018518519;NA;NA;0;0;0;-0.024390244;NA;NA;NA;0;-0.041666667;NA;0;NA;NA;0;0.025;0.024390244;0;-0.006688963;0.01510574;NA;-0.01978022;0;0
7;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;0.006734007;-0.008928571;NA;0.006726457;0;-0.026315789
7;2003;NA;0;NA;NA;0;0;0;0.025;NA;NA;NA;0;0;NA;0;NA;NA;0;0;-0.011904762;0;0;-0.006006006;NA;-0.006681514;0;0
7;2003;NA;0;NA;NA;0;0;0;-0.024390244;NA;NA;NA;0;0;NA;0;NA;NA;0;-0.024390244;0.048192771;0;0;0;NA;0;0;0
7;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;-0.071428571;0.013377926;0;NA;-0.006726457;0;-0.027027027
7;2003;NA;0.018867925;NA;NA;0;0;0;0.025;NA;NA;NA;0;0;NA;0;NA;NA;0;0;-0.034482759;0;0.052805281;-0.028700906;NA;0.006772009;0;0
7;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0.043478261;NA;0;NA;NA;0;0;0;0;0.028213166;0;NA;-0.013452915;0;0
7;2003;NA;0;NA;NA;0;0;0;0.048780488;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;0;0;NA;0.006818182;0;0
7;2003;NA;0;NA;NA;-0.040816327;0.021276596;0;0.046511628;NA;NA;NA;0;0;NA;0.0625;NA;NA;0;0;0;0;-0.057926829;0;NA;0.006772009;0;0.055555556
7;2003;NA;0;NA;NA;-0.021276596;-0.020833333;0;0.088888889;NA;NA;NA;0;0.041666667;NA;0;NA;NA;0;0.05;0.035714286;0;0;0;NA;0;0;0
7;2003;NA;0;NA;NA;0;0.021276596;0;0.040816327;NA;NA;NA;0;0;NA;0;NA;NA;0;0.023809524;0;0;0.093851133;0;NA;0;0;0
7;2003;NA;0;NA;NA;0.02173913;0.083333333;0;0.058823529;NA;NA;NA;0;0.12;NA;0;NA;NA;0;0;0.068965517;0;0.00591716;0.00311042;NA;0.004484305;0;0
7;2003;NA;0;NA;NA;0;0;0;-0.018518519;NA;NA;NA;0;0;NA;0;NA;NA;0;0.023255814;0.032258065;0;-0.005882353;0.015503876;NA;0.008928571;0;0
7;2003;NA;0;NA;NA;0;0;0;0.018867925;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;-0.029585799;0;NA;0.013274336;0;0.026315789
7;2003;NA;0;NA;NA;0;0;0;0.037037037;NA;NA;NA;0;-0.035714286;NA;0.058823529;NA;NA;0;0;0;-0.076923077;0;0.025954198;NA;-0.013100437;0;0
7;2003;NA;-0.018518519;NA;NA;0;-0.057692308;0;-0.035714286;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;0.030487805;0;NA;0.011061947;0;0
7;2003;NA;-0.037735849;NA;NA;0;0.020408163;0;0.018518519;NA;NA;NA;0;0;NA;0.055555556;NA;NA;0;0;0;0.083333333;0.085798817;0;NA;-0.004376368;0;-0.025641026
7;2003;NA;0;NA;NA;0;0;0;0.018181818;NA;NA;NA;0;-0.037037037;NA;0.105263158;NA;NA;0;0.022727273;-0.03125;0;0;-0.03422619;NA;-0.002197802;0;0
7;2003;NA;-0.019607843;NA;NA;-0.021276596;0;0;0;NA;NA;NA;0;0;NA;-0.142857143;NA;NA;0;0;0;0;0;0;NA;0.008810573;0;0
7;2003;NA;0.02;NA;NA;0;-0.02;0;0.017857143;NA;NA;NA;0;0;NA;0.055555556;NA;NA;0;0;0.032258065;0;0;0;NA;0;0;0.026315789
7;2003;NA;0.019607843;NA;NA;0.065217391;0.020408163;0;0.070175439;NA;NA;NA;0;0.038461538;NA;0;NA;NA;0;0;-0.020833333;0;0;0.026194145;NA;0;0;0
7;2003;NA;0.057692308;NA;NA;0;0.02;0;0.081967213;NA;NA;NA;0;0;NA;0;NA;NA;0;0.022222222;0;0;0.051771117;0;NA;0.004366812;0;0
8;2003;NA;0.018181818;NA;NA;0;0;0;0.060606061;NA;NA;NA;0;0.074074074;NA;0;NA;NA;-0.133333333;0.065217391;0.042553191;0;0.054404145;0.034534535;NA;0.045652174;0;0
8;2003;NA;0;NA;NA;0;-0.019607843;0;0.071428571;NA;NA;NA;0;0.103448276;NA;-0.052631579;NA;NA;0.076923077;0;0;0;-0.002457002;-0.007256894;NA;0;0;0
8;2003;NA;-0.017857143;NA;NA;-0.040816327;0;0;0;NA;NA;NA;0;0.03125;NA;0.055555556;NA;NA;0.142857143;-0.06122449;0.06122449;0;0.012315271;-0.042397661;NA;0;0;0
8;2003;NA;-0.018181818;NA;NA;0;0;0;-0.013333333;NA;NA;NA;0;-0.060606061;NA;0;NA;NA;0.0625;0.108695652;0.057692308;0;-0.01703163;-0.009160305;NA;0;0;0.102564103
8;2003;NA;0;NA;NA;0;0.04;0;-0.054054054;NA;NA;NA;0;-0.032258065;NA;0;NA;NA;0;0;0;-0.153846154;-0.034653465;0;NA;0.022869023;0;0
8;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;-0.009090909;0.090909091;0.028205128;0.061633282;NA;-0.022357724;0;0
8;2003;NA;0.018518519;NA;NA;0;0;0;0.028571429;NA;NA;NA;0;0.033333333;NA;0.052631579;NA;NA;0;-0.058823529;0.009174312;-0.083333333;0.009975062;0.017416546;NA;0;0;0
8;2003;NA;0.018181818;NA;NA;0;0.019230769;0;0.041666667;NA;NA;NA;-0.531034483;0.032258065;NA;0;NA;NA;0;0.020833333;0;0.090909091;0;0.02425107;NA;0.020790021;0;0
8;2003;NA;-0.017857143;NA;NA;0.042553191;0.018867925;0;0.053333333;NA;NA;NA;0;0;NA;0.05;NA;NA;0.058823529;-0.020408163;0.027272727;0;0.02962963;0.016713092;NA;0.014256619;0;0
8;2003;NA;0.018181818;NA;NA;-0.040816327;0;0;-0.012658228;NA;NA;NA;0;-0.03125;NA;0.047619048;NA;NA;0;0.0625;0;0.083333333;0.045563549;0.023287671;NA;0;0;0.069767442
8;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;0;0;NA;0;0;0
8;2003;NA;0;NA;NA;0.063829787;0;0;-0.025641026;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.079646018;0;0.009174312;0;NA;0.030120482;0;0
8;2003;NA;0;NA;NA;0;0;0;0.026315789;NA;NA;NA;0;0;NA;0;NA;NA;0.111111111;-0.019607843;0.040983607;0;-0.015909091;0;NA;0.015594542;0;-0.02173913
8;2003;NA;0;NA;NA;0;0.037037037;0;0;NA;NA;NA;0;-0.032258065;NA;0;NA;NA;0.15;0;-0.015748031;0;0;0;NA;-0.026871401;0;0
8;2003;NA;0.035714286;NA;NA;0;0;0;0.012820513;NA;NA;NA;0;0.033333333;NA;0;NA;NA;0;-0.02;0;0.076923077;0.011547344;0.014725569;NA;0.084812623;0;0.022222222
8;2003;NA;0.017241379;NA;NA;0;0;0;-0.012658228;NA;NA;NA;0;-0.032258065;NA;-0.045454545;NA;NA;0;0;0.016;0;0;-0.014511873;NA;-0.010909091;0;0
8;2003;NA;0.016949153;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.023622047;0;-0.00456621;0;NA;0.011029412;0;0.043478261
8;2003;NA;0.033333333;NA;NA;0;0.071428571;0;0.012820513;NA;NA;NA;0;0;NA;-0.047619048;NA;NA;0;0;0;0;-0.01146789;0.014725569;NA;-0.005454545;0;0
8;2003;NA;0.016129032;NA;NA;0;0;0;-0.012658228;NA;NA;NA;0;0.033333333;NA;0.05;NA;NA;0.086956522;0;0.015384615;0;0.006960557;0;NA;0.005484461;0;0
8;2003;NA;0.031746032;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0.16;0;0.007575758;0;0;-0.022427441;NA;0;0.035714286;0
8;2003;NA;-0.030769231;NA;NA;0;0;0;-0.012820513;NA;NA;NA;0;0;NA;0;NA;NA;0.034482759;0;-0.022556391;0;0.002304147;0;NA;-0.001818182;0;0
9;2003;NA;0;NA;NA;0;0.016666667;0;-0.025974026;NA;NA;NA;0;0;NA;0;NA;NA;0;0.040816327;-0.023076923;0;-0.002298851;0;NA;0;-0.034482759;0
9;2003;NA;0.015873016;NA;NA;0;0.016393443;0;0;NA;NA;NA;0;0;NA;0.047619048;NA;NA;0.1;0.019607843;0;0;0.004608295;0;NA;0.018214936;0;0
9;2003;NA;0.03125;NA;NA;0.06;0.032258065;0;0.013333333;NA;NA;NA;0;0.064516129;NA;0.045454545;NA;NA;0.121212121;0.038461538;0;0;0.018348624;0.008097166;NA;0.010733453;0;0
9;2003;NA;0;NA;NA;0;0.09375;0;0.039473684;NA;NA;NA;0;0;NA;0;NA;NA;0.162162162;0.018518519;0;0;0.004504505;0;NA;0.024778761;0.035714286;0
9;2003;NA;0.015151515;NA;NA;0;-0.014285714;0;0;NA;NA;NA;0;0;NA;0;NA;NA;-0.093023256;-0.018181818;0.047244094;0.071428571;-0.004484305;0;NA;0.025906736;-0.034482759;-0.0625
9;2003;NA;-0.014925373;NA;NA;-0.056603774;0.072463768;0;0.037974684;NA;NA;NA;0;0.060606061;NA;0;NA;NA;-0.102564103;0.018518519;0.015037594;0;0;0.014725569;NA;0.048821549;0;0.022222222
9;2003;NA;0;NA;NA;0.06;0;0;-0.012195122;NA;NA;NA;0;-0.057142857;NA;0;NA;NA;0.028571429;0;0.02962963;0;0;-0.014511873;NA;-0.001605136;0;0
9;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0.03030303;NA;0;NA;NA;0;0.018181818;0.021582734;0;0;0;NA;0;0.035714286;0.043478261
9;2003;NA;-0.03030303;NA;NA;0.018867925;-0.013513514;0;-0.012345679;NA;NA;NA;0;-0.029411765;NA;0;NA;NA;0;-0.017857143;-0.014084507;0;0;-0.008032129;NA;-0.022508039;0;-0.020833333
9;2003;NA;-0.03125;NA;NA;0;-0.01369863;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;-0.028571429;0;0;0.008097166;NA;0;0;-0.021276596
9;2003;NA;0;NA;NA;0;0;0;0.0125;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;0;0;NA;0;0;0
9;2003;NA;0.064516129;NA;NA;0.018518519;0.013888889;0;-0.037037037;NA;NA;NA;0;0;NA;0;NA;NA;0;0;-0.007352941;0;0;0;NA;0;0;0
9;2003;NA;-0.03030303;NA;NA;0.090909091;0.01369863;0;0.012820513;NA;NA;NA;0;0;NA;0;NA;NA;-0.027777778;0.018181818;-0.007407407;0;-0.009009009;0;NA;-0.023026316;0;0
9;2003;NA;0;NA;NA;-0.066666667;0;0;0;NA;NA;NA;0;0;NA;-0.043478261;NA;NA;0;0.035714286;0.007462687;0.066666667;0;0;NA;0;-0.034482759;0.02173913
9;2003;NA;0;NA;NA;0;-0.013513514;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;-0.009090909;0;NA;0;0;0
9;2003;NA;-0.015625;NA;NA;0;-0.01369863;0;-0.050632911;NA;NA;NA;0;0;NA;0.045454545;NA;NA;0;0;0;-0.0625;0.009174312;0;NA;-0.025252525;0;0.021276596
9;2003;NA;-0.015873016;NA;NA;0.017857143;-0.013888889;0;-0.04;NA;NA;NA;0;-0.03030303;NA;0;NA;NA;0;0.017241379;-0.014814815;0;-0.013636364;0;NA;0.025906736;0;0
9;2003;NA;-0.064516129;NA;NA;-0.01754386;0;0;-0.083333333;NA;NA;NA;0;-0.0625;NA;-0.043478261;NA;NA;0;-0.016949153;-0.022556391;0;-0.066820276;0;NA;-0.101010101;0;-0.041666667
9;2003;NA;-0.034482759;NA;NA;0;-0.098591549;0;-0.03030303;NA;NA;NA;0;0;NA;-0.045454545;NA;NA;-0.028571429;-0.051724138;0;-0.066666667;0.024691358;0;NA;0.003745318;0;-0.043478261
9;2003;NA;0.053571429;NA;NA;0;0.09375;0;0.078125;NA;NA;NA;0;0.033333333;NA;0.047619048;NA;NA;0;0.054545455;0;0.071428571;0.045783133;0;NA;0.037313433;0;-0.022727273
9;2003;NA;-0.033898305;NA;NA;0;0;0;-0.043478261;NA;NA;NA;0;0;NA;0;NA;NA;-0.147058824;0;0;0;-0.052995392;0;NA;-0.005395683;0;-0.023255814
9;2003;NA;0.01754386;NA;NA;0;-0.057142857;0;-0.060606061;NA;NA;NA;0;-0.032258065;NA;0;NA;NA;0;0.017241379;-0.007692308;-0.066666667;0.00973236;0;NA;-0.005424955;0;0
10;2003;NA;-0.034482759;NA;NA;0;-0.03030303;0;0.032258065;NA;NA;NA;0;0;NA;0;NA;NA;0;0;-0.007751938;0;0;0;NA;-0.052727273;0;0
10;2003;NA;0.035714286;NA;NA;0;-0.078125;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.015625;0;-0.021686747;0;NA;0.028790787;0;0
10;2003;NA;-0.017241379;NA;NA;0;0.084745763;0;0;NA;NA;NA;0;0;NA;-0.045454545;NA;NA;-0.034482759;0;0.015384615;0;0;-0.077643909;NA;-0.027985075;0;0.071428571
10;2003;NA;-0.035087719;NA;NA;0;0;0;0.03125;NA;NA;NA;0;-0.033333333;NA;0;NA;NA;0;0;0;0;0.012315271;0;NA;0;0;0
10;2003;NA;0.036363636;NA;NA;0;0;0;-0.03030303;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.007575758;0;0.03406326;0;NA;0;0.035714286;0
10;2003;NA;0;NA;NA;0;-0.03125;0;0;NA;NA;NA;0;0.034482759;NA;0.047619048;NA;NA;0.035714286;0;0.015037594;0;0.011764706;0;NA;-0.005758157;0;0
10;2003;NA;0;NA;NA;0;0.016129032;0;0.03125;NA;NA;NA;0;0;NA;-0.045454545;NA;NA;0.034482759;0;0;0.071428571;-0.002325581;0;NA;0.011583012;0;0.022222222
10;2003;NA;0.01754386;NA;NA;0;0;0;0;NA;NA;NA;0;0.033333333;NA;0;NA;NA;0;0;0.014814815;0;-0.009324009;0;NA;-0.009541985;0;-0.02173913
10;2003;NA;0;NA;NA;0;-0.015873016;0;-0.015151515;NA;NA;NA;0;0;NA;0;NA;NA;0.1;0;0;0;0;0;NA;-0.005780347;0;0
10;2003;NA;-0.017241379;NA;NA;0;0.032258065;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0.090909091;0;-0.00729927;0;0;0;NA;0.003875969;0;0
10;2003;NA;0;NA;NA;0;-0.015625;0;0.015384615;NA;NA;NA;0;-0.032258065;NA;0;NA;NA;0.055555556;0;0;0;0;0;NA;0;0;0.044444444
10;2003;NA;0.035087719;NA;NA;0;0.047619048;0;0.106060606;NA;NA;NA;0;0.033333333;NA;0;NA;NA;0;0;0.014705882;0;0;0.034833091;NA;0.034749035;0;-0.021276596
