MONTH;YEAR;VENTSPILS NAFTA;BALTIC TELEKOM;DITTON PIEVADKELU;GRINDEKS;GROBINAS ZV;LATVIJAS BALZAMS;LATVIJAS GAZE;LATVIJAS KUG;OLAINES KIMISKI - FAR;RIGAS KUGU BUVETAVA;SAF TEHNNIKA;SALDUS MR;TALSU MR DEAD - DELIST.25/04/17;VALMIERAS STIKLA SKIEDRA
6;2004;0.004098361;NA;0.057142857;0;0;0;0;0;0;0;0;0;0;0.00921659
6;2004;-0.004081633;NA;0;0;0;0;0.003149606;0.032786885;-0.056338028;0;-0.002653928;0;0;0
6;2004;0;NA;0;0;0;0;0;0;0;0;0;0;0;0
6;2004;0;NA;0;0;0;0;0;0;0;0;0;0;0;0
6;2004;0;NA;0;0;0;0;0;0;0;0;0;0;0;0
6;2004;0;NA;0.027027027;0.026923077;0;0.005025126;-0.006279435;-0.015873016;0;0.006666667;0;0;0;0.00913242
6;2004;0.008196721;NA;0;-0.056179775;0;0;0.001579779;-0.016129032;0;-0.006622517;0;0;0;0.009049774
6;2004;-0.012195122;NA;0;-0.035714286;0;-0.01;-0.003154574;-0.032786885;0;0.006666667;0;0;0;0
7;2004;-0.028806584;NA;0;0.065843621;0;0.01010101;0;0.033898305;0;-0.01986755;0.043640234;0;0;0.004484305
7;2004;-0.033898305;NA;0;0.023166023;0;0.02;-0.006329114;-0.032786885;0;0;-0.007649159;0.042145594;0;-0.013392857
7;2004;0.035087719;NA;0;-0.030188679;0;0;0.00477707;-0.050847458;0.044776119;-0.02027027;0.049845838;0;0;-0.009049774
7;2004;0.025423729;NA;0;0.003891051;0;0.024509804;-0.003169572;0.035714286;-0.042857143;-0.027586207;0.007342144;0;0;-0.00913242
7;2004;0;NA;0;0;0;-0.023923445;-0.001589825;0.017241379;0.014925373;-0.007092199;0.01068999;0;0;-0.004608295
7;2004;-0.004132231;NA;0;0.023255814;0;-0.009803922;-0.001592357;0;0;-0.007142857;0.021153846;0;0;0.00462963
7;2004;-0.029045643;NA;0;0;0;0;0.054226475;0.050847458;0;0.007194245;-0.016478343;0;0;0.00921659
7;2004;-0.012820513;NA;-0.052631579;0.018939394;0;0;-0.051437216;0;0.014705882;-0.021428571;0.011488751;0;0;0
7;2004;0.004329004;NA;0;-0.014869888;0;0.00990099;0.003189793;0;-0.014492754;-0.00729927;0.002839565;0;0;0
7;2004;-0.017241379;NA;0.055555556;-0.022641509;0;0;-0.00317965;0;0.014705882;-0.022058824;-0.003303445;0.058823529;0;-0.02739726
7;2004;0;NA;0;-0.003861004;0;0;0;-0.032258065;0;0;0;0;0;0
7;2004;-0.00877193;NA;0;0.015503876;0;0;0.079744817;-0.016666667;-0.014492754;-0.015037594;0;0;0;-0.009389671
7;2004;0;NA;-0.052631579;-0.022900763;0;0;0.001477105;0;0;0.022900763;0;0;0;0
7;2004;0.004424779;NA;0;0.00390625;0;0;0;0;0;-0.007462687;0;0;0;-0.018957346
7;2004;0.004405286;NA;0;0.003891051;0;0.004901961;0.005899705;0.033898305;0;0.015037594;0;0;0;0.048309179
7;2004;-0.004385965;NA;0.055555556;0.023255814;-0.032786885;0;-0.063049853;0;0.044117647;0.007407407;-0.018939394;0;0;0
7;2004;-0.004405286;NA;0;-0.018939394;0;0.014634146;0;0;0.028169014;0.007352941;0.010135135;0;0;0
7;2004;-0.008849558;NA;-0.026315789;0;0;-0.004807692;0.07198748;0;0;0;0;0;0;-0.00921659
7;2004;0.004464286;NA;0.027027027;0;0.06779661;0.004830918;0.001459854;0;0;0;0.021978022;0;0;-0.004651163
7;2004;0;NA;0.078947368;0.003861004;0.095238095;0;-0.020408163;-0.016393443;0;0.00729927;0;0;0;-0.023364486
7;2004;-0.004444444;NA;0.073170732;0;0;-0.009615385;-0.010416667;0.016666667;0;-0.028985507;0;0;0;-0.009569378
7;2004;-0.008928571;NA;0.045454545;0;-0.028985507;0;-0.003007519;0;0;0.037313433;0;0;0;0
8;2004;0;NA;0;0;0.029850746;0.004854369;0.036199095;-0.016393443;-0.01369863;-0.007194245;0.021037868;0;0;0
8;2004;-0.027027027;NA;0;0;0;-0.019323671;-0.033478894;0;0;0;0;0;0;-0.004830918
8;2004;-0.074074074;NA;0.152173913;0;0.101449275;0.014778325;0.00753012;0.016666667;0;0.02173913;0.002289377;0;0;0.009708738
8;2004;0.06;NA;-0.018867925;0;0;-0.004854369;-0.00896861;-0.016393443;0.041666667;0;0;0;0;0
8;2004;-0.04245283;NA;0.057692308;-0.007692308;0;-0.009756098;0.027149321;0.016666667;0.013333333;-0.014184397;0;0;0;0
8;2004;0.014778325;NA;-0.072727273;0.019379845;0;0;-0.033773862;-0.032786885;0.039473684;0.014388489;-0.008679762;0;0;0
8;2004;-0.038834951;NA;-0.078431373;-0.011406844;0;0.034482759;0.004559271;0.016949153;0.012658228;-0.028368794;0;0;0;0
8;2004;0.035353535;NA;0;0.003846154;0.052631579;-0.023809524;-0.004538578;0.016666667;0.0375;0.01459854;0.001382488;0;0;0
8;2004;-0.004878049;NA;-0.042553191;0.01532567;0.025;-0.004878049;0.03343465;0.016393443;0.060240964;0;0.010124252;0;0;0.019230769
8;2004;-0.004901961;NA;0;-0.011320755;-0.06097561;-0.004901961;-0.032352941;0;0.056818182;0.021582734;-0.01594533;0;0;-0.028301887
8;2004;0.019704433;NA;0.044444444;-0.022900763;0;0.004926108;0.012158055;0;0.021505376;-0.014084507;0;0;0;0.053398058
8;2004;-0.014492754;NA;0;0.015625;0;-0.009803922;-0.015015015;0;0.031578947;0;0.025;0;0;-0.032258065
8;2004;0;NA;0;0.011538462;0;0.00990099;0;-0.032258065;0;0.014285714;0.013098464;0;0;0.028571429
8;2004;0.004901961;NA;0;-0.003802281;0.272727273;-0.009803922;0.025914634;0.033333333;0;-0.021126761;0;0;0;0
8;2004;-0.004878049;NA;0.021276596;0.003816794;0.081632653;0;0.005943536;0;0;-0.014388489;0.020954079;0;0;-0.009259259
8;2004;0.004901961;NA;-0.041666667;0.022813688;0;0.004950495;-0.008862629;0;-0.071428571;0.00729927;-0.005676856;0;0;0.009345794
8;2004;0;NA;0;-0.011152416;0;0.004926108;0.001490313;-0.016129032;-0.010989011;0;0;0;0;0
8;2004;0;NA;0.065217391;0.011278195;0;-0.024509804;-0.016369048;0;0;-0.02173913;0;0;0;0
8;2004;0.004878049;NA;0;-0.007434944;0;0.010050251;0.009077156;0;0.011111111;0;0;0;0;0
8;2004;0;NA;0;0.029962547;0;-0.004975124;0;0;0.010989011;0.014814815;0.017566974;0;0;0.00462963
8;2004;0;NA;0;0.021818182;0;0.015;-0.005997001;0;-0.032608696;0;0;0;0;0
8;2004;-0.004854369;NA;0;0;0;-0.014778325;0.028657617;0;0.02247191;0;-0.000431593;0.027777778;0;-0.032258065
9;2004;0.004878049;NA;0;0.067615658;0;0;-0.017595308;0;-0.032967033;0;0;0;0;0.052380952
9;2004;0;NA;-0.06122449;-0.006666667;0;0;0.001492537;0;0;0;-0.011226252;0;0;-0.004524887
9;2004;0.004854369;NA;0;0.05033557;0;0.005;0.004470939;0;0.022727273;0;0;0;0;0.004545455
9;2004;0;NA;0.065217391;-0.003194888;0;0;0.00148368;0.016393443;0.011111111;0;0;0;0;0
9;2004;-0.024154589;NA;0.020408163;0.006410256;0;0;-0.004444444;-0.016129032;0.098901099;0.01459854;0;0;0;0.013574661
9;2004;0.00990099;NA;0.04;-0.006369427;0;0;0;0;-0.04;0;0;0;0;-0.013392857
9;2004;0;NA;-0.038461538;0;0;-0.009950249;0;0.016393443;-0.03125;-0.014388489;0.004366812;0;0;0
9;2004;-0.014705882;NA;0;0.016025641;0.141509434;0;-0.007440476;0;-0.010752688;0;-0.015652174;0;0;-0.009049774
9;2004;0;NA;0;0;0;0;0;0;-0.010869565;-0.02189781;0.023409894;0;0;0
9;2004;-0.009950249;NA;0;0;0;0;0.002998501;-0.032258065;0;0;0;0;0;0.00913242
9;2004;-0.010050251;NA;0;0.05362776;0.066115702;0.020100503;0.001494768;0.033333333;0;0.02238806;0.015537333;0;0;0.018099548
9;2004;0.005076142;NA;0;0.047904192;-0.054263566;0.004926108;0.019402985;-0.016129032;0;0.02189781;0;0;0;0.008888889
9;2004;-0.005050505;NA;0.04;0.105714286;0;0.004901961;-0.010248902;0;0;0;0.010199745;0;0;0.008810573
9;2004;0.025380711;NA;0;-0.010335917;0.057377049;-0.009756098;0.042899408;0.016393443;0.054945055;0;0;0;0;-0.004366812
9;2004;-0.004950495;NA;-0.038461538;-0.052219321;0;0.009852217;-0.005673759;-0.032258065;0;-0.021428571;0;0;0;-0.01754386
9;2004;0;NA;0;0.041322314;0;-0.004878049;-0.02425107;0;-0.041666667;0;-0.004206984;0;0;-0.008928571
9;2004;0;NA;-0.04;-0.023809524;-0.062015504;0;0.00877193;0;-0.02173913;0;0;0;0;0
9;2004;0;NA;0.0625;-0.01897019;-0.066115702;0;-0.001449275;0;0.022222222;0;0;0;0;0.004504505
9;2004;-0.004975124;NA;-0.078431373;-0.002762431;0;-0.004901961;-0.001451379;0;0.065217391;-0.01459854;-0.005492184;0;0;0.00896861
9;2004;-0.025;NA;0;0;0;0;0.002906977;0;0.030612245;0;0.000849618;0;0;0.004444444
9;2004;0;NA;0;0;0;-0.014778325;0.002898551;0;0.059405941;0.014814815;-0.000424448;0;0;0
9;2004;0;NA;0;0;0;0;0.00433526;0;0.065420561;-0.00729927;0;0;0;0.013274336
10;2004;0.015384615;NA;0;0;0;0.01;-0.010071942;0.016666667;0;0;-0.002547771;0;0;-0.013100437
10;2004;0.005050505;NA;0.085106383;0;0;0.004950495;0.005813953;-0.016393443;0.00877193;0;0;0;0;0
10;2004;0.005025126;NA;0.039215686;0.019390582;0;0;-0.00433526;0;-0.008695652;0.007352941;-0.004257131;0;0;0
10;2004;-0.025;NA;0.018867925;0.010869565;0;0;0.002902758;-0.016666667;0;0;0;0;0;0.008849558
10;2004;0.005128205;NA;0.037037037;0.051075269;0;0;0.002894356;0.016949153;0.096491228;0.00729927;0;0;0;0.00877193
10;2004;-0.005102041;NA;-0.071428571;0.046035806;0;-0.004926108;-0.004329004;0;0.136;-0.014492754;0.003420265;0;0;0.008695652
10;2004;0.01025641;NA;0.019230769;0.002444988;0;0;0;0;-0.007042254;0.007352941;0.002130379;0;0;0.004310345
10;2004;0;NA;0;0.004878049;0;0.004950495;-0.004347826;0;-0.070921986;0;0;0;0;0
10;2004;0.005076142;NA;0;0.060679612;0;0.004926108;0.004366812;0;0.015267176;0;0.004676871;0;0;0.004291845
10;2004;-0.005050505;NA;0;-0.020594966;0;0;-0.007246377;0;-0.030075188;0;-0.005501481;0;0;-0.004273504
10;2004;-0.015228426;NA;-0.018867925;0.014018692;0;0.019607843;-0.002919708;0;0;0;-0.002553191;0;0;0
10;2004;0;NA;0;0.013824885;0;0.038461538;-0.001464129;0;0.07751938;-0.00729927;0.008105802;0;0;0.051502146
10;2004;-0.020618557;NA;0.038461538;0.009090909;0;0.050925926;0.013196481;0;0;0;0.006771054;0;0;0.012244898
10;2004;-0.010526316;NA;0;0.002252252;0;0.044052863;0;0;-0.028776978;0;0.001261034;0;0;-0.004032258
10;2004;0.015957447;NA;-0.037037037;-0.024719101;0;-0.008438819;-0.00723589;-0.033333333;-0.037037037;0.007352941;0.000839631;0;0;0
10;2004;0.010471204;NA;0;-0.004608295;0;0;0.00728863;0.034482759;0.030769231;-0.01459854;-0.001258389;0;0;-0.012145749
10;2004;-0.020725389;NA;0.019230769;-0.006944444;0;-0.004255319;-0.01447178;-0.066666667;0.007462687;0;-0.010919782;0;0;0
10;2004;0.015873016;NA;0.037735849;0.034965035;-0.008849558;-0.012820513;0.008810573;0.035714286;0.007407407;0;-0.005095541;-0.101351351;0;0.032786885
10;2004;0;NA;0;0;0;0.095238095;0;0;-0.022058824;0;-0.010243278;0;0;0.015873016
10;2004;0;NA;0;0;0;0.09486166;0;-0.034482759;0.022556391;0;0;0;0;0.015625
10;2004;0.005208333;NA;0.018181818;0.002252252;0;0.010830325;0;0.035714286;0;0;0;0;0;0.019230769
