MONTH;YEAR;KRKA;PETROL;TELEKOM SLOVENIJE;ZAVAROVALNICA TRIGLAV;CETIS REDNE;CINKARNA REDNE;DATALAB TEHNOLOGIJE;DELO PRODAJA;GEA TOVARNA OLJA;GORENJE;GRAND HOTEL UNION;INLES RIBNICA REDNE;INTEREUROPA;ISTRABENZ;KD;KOMPAS MTS;KS NALOZBE;LUKA KOPER;M1 FINANCNA DRUZBA;MELAMIN REDNE;MERCATOR;MLINOTEST;NAMA;NIKA REDNE;POZAVAROVALNICA SAVA;SALUS REDNE SERIJA 'B';SIVENT;TERME CATEZ REDNE;TOPLICE DOBRNA;UNIOR KOVASKA;ZDRAVILISEE ROGASKA REDN
3;2004;0.015713135;0.001744659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.004824561;-0.021744159;NA;NA;NA;-0.001364256;NA;NA;0.001371294;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.000396668;0.006269835;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.003966505;0.013005439;NA;NA;NA;0.025614754;NA;NA;-0.005608086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.001984127;-0.000230769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.012831858;-0.000233427;NA;NA;NA;0.013986014;NA;NA;0.005180668;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.002385686;-0.005962915;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.007863696;0.024982489;NA;NA;NA;-0.005254516;NA;NA;0.004566806;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.016660056;0.010604126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001733853;-0.014123007;NA;NA;NA;0.012545395;NA;NA;-0.002662683;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.039406945;0.013709647;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001730852;-0.006931608;NA;NA;NA;0.005542876;NA;NA;0.021879273;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.01463964;0.002908844;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00520156;0.01535598;NA;NA;NA;-0.005836576;NA;NA;-0.009622125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.01752381;0.0079102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.010769936;NA;NA;NA;0;NA;NA;0.002766697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.006364657;0.004596756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.035791289;-0.014509182;NA;NA;NA;-0.012393999;NA;NA;0.010587103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.02641369;0.021502176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.048709409;0.01426271;NA;NA;NA;-0.001651255;NA;NA;0.018349206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
