Month;Year;ERSTE GROUP BANK (PRA);VIENNA IN.GROUP (PRA);CENTRAL EUR.MEDIA (PRA);PHILIP MORRIS CR;CEZ;KOMERCNI BANKA;MONETA MONEY BANK;KOFOLA CESKOSLOVENSKO;UNIPETROL;TELF.O2 CZECH REPUBLIC;STOCK SPIRITS GROUP(PRA);PEGAS NONWOVENS;FORTUNA ENTM.GROUP
4;2004;0.028394715;NA;NA;-0.003926496;0.018241862;0.007185255;NA;NA;-0.000780031;-0.011554757;NA;NA;NA
4;2004;0.008306346;NA;NA;-0.005045727;0.006435006;0.006823821;NA;NA;0.00312256;0.022989999;NA;NA;NA
4;2004;0.012356879;NA;NA;0.022451136;0.003836317;0.025569932;NA;NA;0.019299611;0.004316912;NA;NA;NA
4;2004;-0.009569132;NA;NA;-0.01317489;-0.005656051;0.004505858;NA;NA;0.001679646;-0.009860936;NA;NA;NA
4;2004;0.004586393;NA;NA;0.006544503;-0.00789177;0.013157895;NA;NA;0.007621951;0.027451481;NA;NA;NA
4;2004;0.012992391;NA;NA;0.00390117;0.01053719;0.002361275;NA;NA;0.015733737;0.005716416;NA;NA;NA
4;2004;-0.006172713;NA;NA;-0.009015544;-0.004600286;0.000588928;NA;NA;0.002234138;-0.006178179;NA;NA;NA
4;2004;0;NA;NA;0;0;0;NA;NA;0;0;NA;NA;NA
4;2004;-0.002632499;NA;NA;0.000836558;-0.007445825;0.008828723;NA;NA;0.006984693;0.022131046;NA;NA;NA
4;2004;-0.025157233;NA;NA;-0.011022882;-0.017538414;-0.046091015;NA;NA;0.006493506;-0.017516117;NA;NA;NA
4;2004;0.007868852;NA;NA;-0.057366225;0.005107952;0.010091743;NA;NA;-0.013489736;0.008542776;NA;NA;NA
4;2004;-0.000241358;NA;NA;0.007340992;-0.015560329;-0.023917651;NA;NA;0.008323424;-0.000368279;NA;NA;NA
4;2004;0;NA;NA;-0.004227859;0.006333156;0.021401985;NA;NA;0.007959906;-0.004420975;NA;NA;NA
4;2004;-0.002204238;NA;NA;0.012625698;0.024062616;0.013361676;NA;NA;-0.002339865;0.016652276;NA;NA;NA
4;2004;0.006848234;NA;NA;0.013792342;0.005938856;0.004495055;NA;NA;0.018616242;-0.023295317;NA;NA;NA
4;2004;-0.008253928;NA;NA;-0.020407053;-0.002772216;-0.025059666;NA;NA;-0.027198158;-0.025962733;NA;NA;NA
4;2004;-0.002939255;NA;NA;-0.01733237;-0.0002574;-0.00244798;NA;NA;0.022781065;0.010840454;NA;NA;NA
4;2004;0.006381877;NA;NA;0.006331619;0.001235839;-0.017484663;NA;NA;0;0.000883169;NA;NA;NA
4;2004;0.006593384;NA;NA;-0.010111791;0.006737297;0.018732438;NA;NA;0.146080417;0.008571789;NA;NA;NA
4;2004;0.00629987;NA;NA;0.010612338;0.004291188;0.001838799;NA;NA;0;0.022997125;NA;NA;NA
4;2004;-0.001927881;NA;NA;0.017800988;-0.006867084;-0.017742429;NA;NA;0.029404341;-0.030788027;NA;NA;NA
4;2004;-0.032816508;NA;NA;-0.029793103;-0.006607253;-0.075677359;NA;NA;-0.007110457;-0.01500063;NA;NA;NA
5;2004;-0.001503227;NA;NA;0.010634063;-0.007012117;-0.009433962;NA;NA;0.003086801;0.011389813;NA;NA;NA
5;2004;0.013495639;NA;NA;-0.041300923;-0.025183031;-0.036054422;NA;NA;-0.013417036;-0.040870555;NA;NA;NA
5;2004;0.000986758;NA;NA;0.015377392;-0.012357516;-0.025052929;NA;NA;-0.001871491;-0.000923483;NA;NA;NA
5;2004;-0.032265929;NA;NA;0.007109827;-0.000647179;0.002171553;NA;NA;0.00675;-0.003037106;NA;NA;NA
5;2004;-0.009923656;NA;NA;0.001320094;-0.054830005;-0.011556519;NA;NA;0.003476533;-0.019072848;NA;NA;NA
5;2004;-0.047814495;NA;NA;-0.022698613;-0.054927487;-0.041651443;NA;NA;-0.004701806;-0.0463138;NA;NA;NA
5;2004;0.002161057;NA;NA;-0.00058651;0.044224263;0.057567671;NA;NA;-0.001243163;0.043749115;NA;NA;NA
5;2004;0.013471683;NA;NA;0.025528169;-0.007752835;-0.01369863;NA;NA;0.000622355;-0.005018991;NA;NA;NA
5;2004;-0.006120091;NA;NA;-0.019742489;-0.030612245;-0.033260234;NA;NA;0.000497574;-0.016496251;NA;NA;NA
5;2004;-0.013903916;NA;NA;-0.041681261;0.038135338;-0.004914934;NA;NA;0.002237971;0.002911006;NA;NA;NA
5;2004;-0.039335154;NA;NA;-0.026803119;-0.016165479;0.007978723;NA;NA;-0.001116487;-0.022805805;NA;NA;NA
5;2004;0.003389872;NA;NA;-0.04231347;0.011425206;0.024123634;NA;NA;-0.001614506;0.015134371;NA;NA;NA
5;2004;0.062191977;NA;NA;0.022091503;0.011121463;0.023187339;NA;NA;0;0.0143514;NA;NA;NA
5;2004;-0.007159224;NA;NA;0.040478322;-0.007255975;-0.018705036;NA;NA;0.001243936;0.008791209;NA;NA;NA
5;2004;-0.005063669;NA;NA;-0.022309631;-0.001682232;0.004398827;NA;NA;0.001863586;-0.000544662;NA;NA;NA
5;2004;0.020911714;NA;NA;-0.01081217;0.015920976;-0.002919708;NA;NA;-0.00421627;-0.007765668;NA;NA;NA
5;2004;-0.004465194;NA;NA;-0.004448399;-0.005948296;0.009150805;NA;NA;-0.003113325;-0.015103666;NA;NA;NA
5;2004;0.019791749;NA;NA;0.004468275;0.02301496;0.022850925;NA;NA;0.00062461;0.001533529;NA;NA;NA
5;2004;0.001547712;NA;NA;-0.011438739;0.006130484;0.009219858;NA;NA;-0.002496879;0.023663697;NA;NA;NA
5;2004;0.026615082;NA;NA;-0.014206737;0.025714126;-0.003865074;NA;NA;0;0.00965461;NA;NA;NA
5;2004;0.00629176;NA;NA;-0.005542876;0.006267372;-0.001763668;NA;NA;0.003379224;0.003636364;NA;NA;NA
6;2004;-0.037762042;NA;NA;-0.00747541;0.001678943;0;NA;NA;0.003118373;-0.008319914;NA;NA;NA
6;2004;-0.007795113;NA;NA;-0.012288584;0.01703163;0.001413428;NA;NA;-0.001492166;0.016779432;NA;NA;NA
6;2004;-0.007078609;NA;NA;0.038795987;-0.012759171;0.006704305;NA;NA;-0.006849315;0.008517434;NA;NA;NA
6;2004;0.018469747;NA;NA;0.004507405;0.004577275;0.002453558;NA;NA;0;-0.008181578;NA;NA;NA
6;2004;0.027709353;NA;NA;0.015064103;0.009112838;0.022727273;NA;NA;-0.032727273;0.004523683;NA;NA;NA
6;2004;0.009077796;NA;NA;-0.005683612;-0.005312085;-0.012307692;NA;NA;-0.001037075;-0.00384106;NA;NA;NA
6;2004;-0.013736028;NA;NA;0.004636393;-0.033164219;-0.011768778;NA;NA;-0.002206073;0.000265922;NA;NA;NA
6;2004;0.001765437;NA;NA;0.021178404;-0.011047282;0.00525394;NA;NA;-0.029262583;-0.008507244;NA;NA;NA
6;2004;-0.019211523;NA;NA;0.038506779;-0.010053619;-0.001393728;NA;NA;0.003483387;0.000268132;NA;NA;NA
6;2004;0.006710442;NA;NA;0.019433681;-0.001410517;-0.00418702;NA;NA;-0.005473965;-0.003082697;NA;NA;NA
6;2004;0.015105274;NA;NA;-0.011461318;0.009887564;0.003503854;NA;NA;-0.01167942;0.001210003;NA;NA;NA
6;2004;0.033288471;NA;NA;0.005087252;0.008727761;-0.002793296;NA;NA;0.011681608;-0.020813751;NA;NA;NA
6;2004;0.021964055;NA;NA;-0.006238597;0.023516362;0.051470588;NA;NA;0.016245972;0.007131103;NA;NA;NA
6;2004;0.010031657;NA;NA;-0.009771987;-0.001571475;0.004995005;NA;NA;0.013079667;0.005310458;NA;NA;NA
6;2004;-0.018917654;NA;NA;-0.02242823;-0.00412483;-0.029158383;NA;NA;-0.000912885;0.003792496;NA;NA;NA
6;2004;-0.015901005;NA;NA;0.000367085;0.003160935;-0.001023891;NA;NA;-0.003524344;-0.003373364;NA;NA;NA
6;2004;0.017138159;NA;NA;0.010396918;-0.003368284;0.032114793;NA;NA;0.00091695;0.019225562;NA;NA;NA
6;2004;-0.020465897;NA;NA;0.001815871;-0.003052603;-0.001655081;NA;NA;0.001046983;-0.006110521;NA;NA;NA
6;2004;0;NA;NA;0.001510483;0;-0.014920424;NA;NA;-0.002483985;0.008286554;NA;NA;NA
6;2004;0.013519947;NA;NA;-0.03921332;-0.007654875;-0.002019522;NA;NA;-0.053735256;-0.027969247;NA;NA;NA
6;2004;0;NA;NA;0.006844154;0.012452477;-0.001686341;NA;NA;0.045567867;0.011864176;NA;NA;NA
6;2004;0.001941444;NA;NA;-0.005612722;0.004571429;-0.00777027;NA;NA;-0.007815605;-0.014150943;NA;NA;NA
7;2004;0.014761801;NA;NA;0.013860144;0.005688282;0.004085802;NA;NA;0.001068091;0.014080656;NA;NA;NA
7;2004;0.006210989;NA;NA;-0.00835086;-0.002154708;-0.015598508;NA;NA;-0.004934649;-0.010514964;NA;NA;NA
7;2004;0;NA;NA;0;0;0;NA;NA;0;0;NA;NA;NA
7;2004;0;NA;NA;0;0;0;NA;NA;0;0;NA;NA;NA
7;2004;-0.006876639;NA;NA;0.047408147;0.014197797;-0.018601447;NA;NA;-0.006835545;-0.049046322;NA;NA;NA
7;2004;-0.005968831;NA;NA;-0.00333512;0.005535743;-0.004914005;NA;NA;-0.002699055;-0.021633238;NA;NA;NA
7;2004;0.010562434;NA;NA;0.00633403;0.018474406;-0.031040564;NA;NA;0.000270636;-0.020354371;NA;NA;NA
7;2004;0.004755574;NA;NA;0.002790808;0.006496881;0.0010921;NA;NA;-0.004734848;0.014648729;NA;NA;NA
7;2004;0.000946613;NA;NA;0.01527712;0.003563129;0.002909091;NA;NA;0.006524399;0.031673542;NA;NA;NA
7;2004;-0.03118835;NA;NA;0.0123644;0.034784398;-0.058013053;NA;NA;0.012694126;0.009567328;NA;NA;NA
7;2004;0.000976163;NA;NA;-0.013596036;-0.012729985;-0.025789069;NA;NA;0.005867449;-0.01301273;NA;NA;NA
7;2004;0.010716832;NA;NA;-0.007592571;0.003324267;0.021335441;NA;NA;-0.009014981;0.004012611;NA;NA;NA
7;2004;-0.007718963;NA;NA;-0.002766008;0.019076305;-0.009284333;NA;NA;0.008026756;0.005852127;NA;NA;NA
7;2004;0.007779009;NA;NA;0.012156978;0.003940887;-0.021866458;NA;NA;0.007564698;0.001986661;NA;NA;NA
