MONTH;YEAR;CEZ;KOMERCNI BANKA;TELF.O2 CZECH REPUBLIC;UNIPETROL;MONETA MONEY BANK;PHILIP MORRIS CR;BOREALIS EXPLORATION;E4U;ENERGOAQUA;ENERGOCHEMICA;FORTUNA ENTM.GROUP;JACHYMOV;KOFOLA CESKOSLOVENSKO;PEGAS NONWOVENS;PRAZSKE SLUZBY;RM-S HOLDING;SAFETY REAL INVESTICNI FOND;TOMA;CENTRAL EUR.MEDIA (PRA);ERSTE GROUP BANK (PRA);NEW WORLD RES. (PRA);PHOTON ENERGY (PRA);STOCK SPIRITS GROUP(PRA);TATRY MOUNTAIN (PRA) RESORTS 6;VGP (WI) (PRA);VIENNA IN.GROUP (PRA)
3;2004;0.051518794;0.033801874;0.009218385;0.018003026;NA;0.034078753;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.006852968;NA;NA;NA;NA;NA;NA
3;2004;-0.009767756;0.000971188;-0.007719027;0;NA;0.005172414;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.004191974;NA;NA;NA;NA;NA;NA
3;2004;-0.001836403;-0.032018111;-0.021133152;-0.005201367;NA;0.000294046;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.003916376;NA;NA;NA;NA;NA;NA
3;2004;-0.01308873;-0.03307718;-0.019072848;-0.020764864;NA;0.001910734;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.009947727;NA;NA;NA;NA;NA;NA
3;2004;0.006338216;0.009329648;0.007696462;-0.014645309;NA;-0.028850856;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0.226415094;NA;0.00291303;NA;NA;NA;NA;NA;NA
3;2004;0.000793903;-0.008558713;-0.001473938;-0.009908655;NA;-0.019637462;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.008441404;NA;NA;NA;NA;NA;NA
3;2004;-0.00814427;-0.003107735;0;-0.008756841;NA;-0.003030303;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0.05;NA;-0.003982012;NA;NA;NA;NA;NA;NA
3;2004;-0.002452679;0.018011777;0.013821793;0.008834201;NA;0.015661223;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.029628353;NA;NA;NA;NA;NA;NA
3;2004;-0.011491795;0.04389248;0.000661813;-0.014229867;NA;0.02028912;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.000781041;NA;NA;NA;NA;NA;NA
3;2004;0.018979128;0.000325945;0.000793651;-0.000793147;NA;0.017897092;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.008553498;NA;NA;NA;NA;NA;NA
3;2004;-0.004828867;-0.012381883;-0.021675919;-0.026512145;NA;0.01001221;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.013087354;NA;NA;NA;NA;NA;NA
3;2004;0.007998294;0.006268558;-0.001350986;0.014350946;NA;-0.002659574;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.027309246;NA;NA;NA;NA;NA;NA
3;2004;-0.002644943;0.016721311;-0.011093074;0.013987138;NA;-0.022642424;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.054977283;NA;NA;NA;NA;NA;NA
3;2004;0.004243131;0.02386327;0.006839945;0.012684319;NA;0.000892946;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.010519333;NA;NA;NA;NA;NA;NA
3;2004;0.001056301;-0.00503937;0.004755435;0.008611242;NA;-0.026070579;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0.04981685;NA;-0.010631166;NA;NA;NA;NA;NA;NA
3;2004;0.01229292;0.013928458;0.005544287;-0.017075442;NA;-0.066259542;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.007497042;NA;NA;NA;NA;NA;NA
3;2004;-0.001198728;0.014361536;0.032275417;0.016898294;NA;0.033464138;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.001766497;NA;NA;NA;NA;NA;NA
3;2004;-0.004539762;-0.014773777;0.014721209;-0.004503805;NA;0.00733045;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.004038649;NA;NA;NA;NA;NA;NA
4;2004;0.018241862;0.007185255;-0.011554757;-0.000780031;NA;-0.003926496;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.028394715;NA;NA;NA;NA;NA;NA
4;2004;0.006435006;0.006823821;0.022989999;0.00312256;NA;-0.005045727;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.008306346;NA;NA;NA;NA;NA;NA
4;2004;0.003836317;0.025569932;0.004316912;0.019299611;NA;0.022451136;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.012356879;NA;NA;NA;NA;NA;NA
4;2004;-0.005656051;0.004505858;-0.009860936;0.001679646;NA;-0.01317489;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.009569132;NA;NA;NA;NA;NA;NA
4;2004;-0.00789177;0.013157895;0.027451481;0.007621951;NA;0.006544503;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.004586393;NA;NA;NA;NA;NA;NA
4;2004;0.01053719;0.002361275;0.005716416;0.015733737;NA;0.00390117;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.012992391;NA;NA;NA;NA;NA;NA
4;2004;-0.004600286;0.000588928;-0.006178179;0.002234138;NA;-0.009015544;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.006172713;NA;NA;NA;NA;NA;NA
4;2004;0;0;0;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA
4;2004;-0.007445825;0.008828723;0.022131046;0.006984693;NA;0.000836558;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.002632499;NA;NA;NA;NA;NA;NA
4;2004;-0.017538414;-0.046091015;-0.017516117;0.006493506;NA;-0.011022882;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.025157233;NA;NA;NA;NA;NA;NA
4;2004;0.005107952;0.010091743;0.008542776;-0.013489736;NA;-0.057366225;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;-0.057920447;NA;0.007868852;NA;NA;NA;NA;NA;NA
4;2004;-0.015560329;-0.023917651;-0.000368279;0.008323424;NA;0.007340992;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.000241358;NA;NA;NA;NA;NA;NA
4;2004;0.006333156;0.021401985;-0.004420975;0.007959906;NA;-0.004227859;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA
4;2004;0.024062616;0.013361676;0.016652276;-0.002339865;NA;0.012625698;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.002204238;NA;NA;NA;NA;NA;NA
4;2004;0.005938856;0.004495055;-0.023295317;0.018616242;NA;0.013792342;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.006848234;NA;NA;NA;NA;NA;NA
4;2004;-0.002772216;-0.025059666;-0.025962733;-0.027198158;NA;-0.020407053;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.008253928;NA;NA;NA;NA;NA;NA
4;2004;-0.0002574;-0.00244798;0.010840454;0.022781065;NA;-0.01733237;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.002939255;NA;NA;NA;NA;NA;NA
4;2004;0.001235839;-0.017484663;0.000883169;0;NA;0.006331619;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.006381877;NA;NA;NA;NA;NA;NA
4;2004;0.006737297;0.018732438;0.008571789;0.146080417;NA;-0.010111791;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.006593384;NA;NA;NA;NA;NA;NA
4;2004;0.004291188;0.001838799;0.022997125;0;NA;0.010612338;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.00629987;NA;NA;NA;NA;NA;NA
4;2004;-0.006867084;-0.017742429;-0.030788027;0.029404341;NA;0.017800988;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.001927881;NA;NA;NA;NA;NA;NA
4;2004;-0.006607253;-0.075677359;-0.01500063;-0.007110457;NA;-0.029793103;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.032816508;NA;NA;NA;NA;NA;NA
5;2004;-0.007012117;-0.009433962;0.011389813;0.003086801;NA;0.010634063;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0.111111111;NA;-0.001503227;NA;NA;NA;NA;NA;NA
5;2004;-0.025183031;-0.036054422;-0.040870555;-0.013417036;NA;-0.041300923;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.013495639;NA;NA;NA;NA;NA;NA
5;2004;-0.012357516;-0.025052929;-0.000923483;-0.001871491;NA;0.015377392;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.000986758;NA;NA;NA;NA;NA;NA
5;2004;-0.000647179;0.002171553;-0.003037106;0.00675;NA;0.007109827;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.032265929;NA;NA;NA;NA;NA;NA
5;2004;-0.054830005;-0.011556519;-0.019072848;0.003476533;NA;0.001320094;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.009923656;NA;NA;NA;NA;NA;NA
5;2004;-0.054927487;-0.041651443;-0.0463138;-0.004701806;NA;-0.022698613;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.047814495;NA;NA;NA;NA;NA;NA
5;2004;0.044224263;0.057567671;0.043749115;-0.001243163;NA;-0.00058651;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.002161057;NA;NA;NA;NA;NA;NA
5;2004;-0.007752835;-0.01369863;-0.005018991;0.000622355;NA;0.025528169;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.013471683;NA;NA;NA;NA;NA;NA
