Month;Year;ARCA CONTINENTAL;ALFA 'A';ALPEK DE CV;ALSEA DE CV;AMERICA MOVIL 'L';GRUPO AEROPORTUARIO DEL SURESTE 'B';GRUPO BIMBO 'A';BOLSA MEXICANA DE VALORES;CEMEX CPO;GRUPO ELEKTRA;FOMENTO ECONOMICO MEXICANO;GRUPO AEROPORTUARIO DEL PACIFICO;GRUPO CARSO SERIES A1;GENTERA;GRUPO FINANCIERO INBURSA SRIES 'O';GPO FINANCE BANORTE;BANREGIO GRUPO FINANCIERO;GRUPO MEXICO 'B';GRUMA;INFRAESTRUCTURA ENERGETICA NOVA;KIMBERLY-CLARK DE MEXICO 'A';COCA-COLA FEMSA 'L';GENOMMA LAB INTERNATIONAL;GRUPO LALA;EL PUERTO DE LIVERPOOL C1;MEXICHEM DE CV;NEMAK;OHL MEXICO;GRUPO AEROPORTUARIO DEL CENTRO NORTE 'B';INDUST PENOLES;PROMOTORA Y OPRD. INFRE.;GRUPO FINANCIERO SANTANDER MEXICO 'B';GRUPO TELEVISA;CONTROLADORA VUELA COMPANIA DE AVIACION;WALMART DE MEXICO 'V'
2;2004;-0.006795017;-0.002583979;NA;0.017482517;0.007017544;0.011363636;0.022099448;NA;0.015219338;0.012506338;0.057814485;NA;0.014084507;NA;0.027079304;0.017509728;NA;0.029490617;0.000555247;NA;-0.006153846;-0.003007519;NA;NA;0;0;NA;NA;NA;0.051034807;0;0;0.01457976;NA;0.01010101
2;2004;-0.003420753;-0.005181347;NA;0;0.024390244;0;-0.014414414;NA;0.001763668;0.02820898;0.015015015;NA;0.007716049;NA;0.02259887;0.029636711;NA;0.046875;0.002774695;NA;0.008255934;0.033182504;NA;NA;0.007092199;0.013888889;NA;NA;NA;0.014544641;0;0;0.009721048;NA;-0.011111111
2;2004;-0.020594966;-0.020833333;NA;-0.017182131;-0.010204082;0.056179775;0.005484461;NA;-0.017605634;-0.003246753;-0.014792899;NA;0;NA;0.012891344;-0.008356546;NA;0.007462687;-0.005534034;NA;0;-0.000364964;NA;NA;0.028169014;0;NA;NA;NA;-0.01940891;0;0;-0.005441607;NA;-0.021348315
2;2004;0.012850467;0.007978723;NA;0;0.006872852;0;0.009090909;NA;0.004480287;0.029641694;-0.008408408;NA;0.045941807;NA;0;0;NA;0.049382716;0.002782415;NA;0.00716479;-0.003650968;NA;NA;0;0;NA;NA;NA;0.023391813;0;0;0.027777778;NA;0.012629162
2;2004;0.010380623;0.002638522;NA;0;0.034129693;0.017021277;0.059459459;NA;0.008028546;0.026573869;-0.013930951;NA;-0.023426061;NA;-0.034545455;-0.005617978;NA;0.035294118;0;NA;0.008130081;0.007328692;NA;NA;0.02739726;0;NA;NA;NA;0.038021978;0;0;-0.005323505;NA;0.011337868
2;2004;0.003995434;0.023684211;NA;-0.048951049;0.01980198;0;-0.011904762;NA;0;-0.01540832;-0.007985258;NA;0;NA;-0.003766478;-0.016007533;NA;0.004545455;0.013873474;NA;-0.010080645;-0.024372499;NA;NA;0;0;NA;NA;NA;0.011009951;0;0.006462036;-0.008233841;NA;-0.002242152
2;2004;0.012507106;0.015424165;NA;0.095588235;0.003236246;0.005439331;0;NA;0.003539823;0.001408451;0.021671827;NA;0;NA;-0.003780718;0.003827751;NA;-0.004524887;0;NA;0.00101833;-0.000745712;NA;NA;0;0;NA;NA;NA;-0.005235602;0;0;0.00456621;NA;-0.002247191
2;2004;0;-0.010126582;NA;0;0.022580645;0.009155223;-0.003442341;NA;0.019400353;0.011251758;-0.00969697;NA;-0.004497751;NA;0.011385199;0.012392755;NA;0.022727273;-0.002736727;NA;0.017293998;0.007462687;NA;NA;0;0;NA;NA;NA;0.043789474;0;0;0.012809917;NA;0
2;2004;-0.003368894;0;NA;0;0.003154574;0.010309278;0.005181347;NA;-0.001730104;0;-0.004895961;NA;0.00753012;NA;-0.005628518;-0.005649718;NA;-0.004444444;0.015916575;NA;-0.007;-0.007407407;NA;NA;0.026666667;0;NA;NA;NA;0.067567568;0;0;-0.008567931;NA;-0.010135135
2;2004;-0.005070423;-0.010230179;NA;0;-0.009433962;0.004081633;-0.008591065;NA;0;-0.010662958;-0.00799508;NA;0.001494768;NA;0.001886792;-0.011363636;NA;-0.008928571;-0.000540249;NA;0.001007049;0.007462687;NA;NA;0.006493506;-0.01369863;NA;NA;NA;-0.025316456;0;0;0.000823045;NA;-0.012514221
