MONTH;YEAR;ECOPETROL;BANCO DE BOGOTA;BANCOLOMBIA;EMPRESA DE ENERGIA DE BOGOTA;GRUPO AVAL ACCIONES Y VALORES;GRUPO DE INVERSIONES SURAMERICANA;CEMENTOS ARGOS;GRUPO NACIONAL DE CHOCOLATES;INTERCONEXION ELECTRICA;INVERSIONES ARGOS;ISAGEN;ALMACENES EXITO;BANCO DE OCCIDENTE;CEMEX LATAM HOLDING(BOG);CORPORACION FINANCIERA COLOMBIANA;PROMIGAS;ASDF.DE PNSI.Y CESA. PRCN.;BANCO COMERCIAL AV VILLAS;BANCO POPULAR;BBV.ARGT.CLOMB.;CELSIA ESP;EMPRESA DE ENERGIA DEL PACIFICO;EMSA.DE TC.DE BOGOTA;GAS NATURAL;ORGANIZACION DE INGENIERIA INTERNACIONAL;ORGANIZACION TERPEL;PRODUCTOS FAMILIA;SOCIEDADES BOLIVAR;ACERIAS PAZ DEL RIO;AGROGUACHAL;ALIMENTOS DERIVADOS DE LA CANA;BIOMAX BIOCOMBUSTIBLES;BOLSA DE VALORES DE COLOMBIA;BOLSA NACIONAL AGROPECUARIA;CARTON DE COLOMBIA;CLINICA DE MARLY;COLOMBINA;COLTEJER;COMPANIA AGRICOLA SAN FELIPE;COMPANIA DE ELECTRICIDAD DE TULUA;COMPANIA DE EMPAQUES;CONCONCRETO;CONSTRUCCIONES CIVILES;CONSTRUCCIONES EL CONDOR;COOMEVA ENTIDAD PROMOTORA DE SALUD;CORPORACION DE FERIAS Y EXPOCISIONES;EDATEL;ENKA DE COLOMBIA;F GAN CALDAS;FOGANSA;FONDO GANADERO DE TOLIMA;INDUSTRIAS ESTRA;INGENIO CENTRAL CASTILLA;INVERSIONES EQUIPOS Y SERVICIOS;INVERSIONES VENECIA;MANUFACTURAS DE CEMENTO;MAYAGUEZ;MINEROS;RIOPAILA CASTILLA;TABLEMAC;TEXTILES FABRICATO TEJICONDOR;VALOREM;VALORES INDUSTRIALES;VALORES SIMESA;ALPHABET 'A' (BOG);AMAZON COM (BOG);APPLE (BOG);BANK OF AMERICA (BOG);CANACOL ENERGY (BOG);CITIGROUP (BOG);COLGATE-PALMOLIVE (BOG);FACEBOOK 'A' (BOG);GENERAL ELECTRIC (BOG);GRAN TIERRA ENERGY (BOG);JOHNSON & JOHNSON (BOG);JPMORGAN CHASE (BOG);MICROSOFT (BOG);PACIFIC EXP.& PRDN.(BOG);PFIZER (BOG);PROCTER & GAMBLE (BOG);TECNOGLASS (BOG);WALMART STORES (BOG);BANCO BILBAO VIZCAYA ARGENTARIA;CORPORACION FINANCIERA COLOMBIANA;CORPORACION FINANCIERA COLOMBIANA;CORPORACION FINANCIERA COLOMBIANA;ORGANIZACION DE INGENIERIA INTERNACIONAL;PROMIGAS ESP;SDEXITO
1;2004;NA;0.002883933;0.013043041;NA;0.052631579;0.049789216;0.033577864;0;0.005761317;0.005840363;NA;0.029022084;0.01744186;NA;0;0;NA;0;0;0;0.066037736;NA;0;0;NA;NA;0;0;0.06557377;0;0;NA;NA;NA;0;0;0;-0.080459552;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;-0.007518797;0.011450382;0.073684211;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0.001917736;-0.004290984;NA;0;0.00761812;-0.003608118;0;-0.003273322;-0.003225806;NA;0;0.001428571;NA;0;0.030888225;NA;0;0;0;0.052743363;NA;0;0;NA;NA;0;0;0.036923077;0;0;NA;NA;NA;0.000206186;0;0;0.034375334;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0.034482759;0;0;0.003773585;0.081699346;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;-0.018181696;-0.034699193;NA;-0.005;-0.026843309;0.003621184;-0.010811446;-0.015599343;-0.029773463;NA;-0.025641777;-0.001426534;NA;0;0;NA;0;0;0;-0.016476126;NA;0;0;NA;NA;0;0;0.008902077;0;0;NA;NA;NA;0.030715316;0;0;-0.033232941;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0.033112583;NA;0;0;-0.060606061;-0.022556391;0.057401813;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;0.003899022;0.009153452;NA;0.030150754;0.019814677;-0.014439451;-0.008195008;0.027522936;0.027351568;NA;0.023684649;0;NA;0;-0.015699983;NA;0;0;0;0.034188034;NA;0;0;NA;NA;0;0;0.014705882;0;0;NA;NA;NA;0;0;0;-0.015625322;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0;-0.003846154;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;0.001940962;0.017700021;NA;0.024390244;0.013714162;-0.018311984;0.008262721;-0.010551948;-0.001298701;NA;0.033420814;-0.007142857;NA;0;0;NA;0;0;0;0.041322314;NA;0;0;NA;NA;0;0;0.043478261;0;0;NA;NA;NA;-0.01;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0;0.003861004;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;0.004845443;0;NA;0.09047619;0.020481581;0;0.010929611;0.025430681;-0.00130039;NA;0.019900536;0.007338129;NA;0;0;NA;0;0;0;0.03968254;NA;0;0;NA;NA;0;0;0.069444444;0;0;NA;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0.048387097;0.007692308;-0.002857143;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;0.002893247;0.00021877;NA;0.004366812;0.018227581;0;0.026486737;0.04;0.001302083;NA;0;0.014140837;NA;0;0;NA;0;0;0;0.082900763;NA;0;0;NA;NA;0;0;0.168831169;0;0;NA;NA;NA;0;0;0;0.092063897;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;-0.038461538;0.049618321;0.00286533;0;0.011730205;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;0.008653733;0.021515654;NA;0.02173913;0.069078199;0.006715573;0.005792013;0.071538462;0.026657997;NA;0;0.028169014;NA;0;0;NA;0;0;0.001818182;0.08557733;NA;0;0;NA;NA;0;0;0.142222222;0;0;NA;NA;NA;0.050505051;0;0;0.07558173;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0;0.054545455;-0.014285714;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;0.024785081;-0.019148294;NA;-0.063829787;-0.027401654;0.008153965;0;0.014357502;-0.006333122;NA;-0.024390924;0;NA;0;0;NA;0;0;0.070780399;-0.038831169;NA;0;0;NA;NA;0;0;-0.101167315;0;0;NA;NA;NA;-0.019230769;0;0;0.027026764;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0.12;-0.003448276;-0.092753623;0;-0.014492754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
2;2004;NA;0.041860874;-0.002169851;NA;0;-0.005565951;0.002203238;0.004713163;0.01910828;-0.012109624;NA;0;0.015068493;NA;0;0;NA;0;0;0.06779661;-0.027158492;NA;0;0;NA;NA;0;0;0.064935065;0;0;NA;NA;NA;0;0;0;-0.028947647;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;-0.071428571;-0.024221453;-0.041533546;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
