MONTH;YEAR;TALLINK GROUP;ARCO VARA;BALTIKA;EKSPRESS GRUPP;HARJU ELEKTER;LHV GROUP;LINDA;MERKO EHITUS;NORDECON;OLYMPIC ENTM.GROUP
9;2004;NA;NA;0;NA;-0.03539823;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.004587156;NA;NA;NA;NA;NA
9;2004;NA;NA;0.02;NA;0;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.00456621;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.031818182;NA;NA;NA;NA;NA
9;2004;NA;NA;0.019607843;NA;-0.017621145;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.01793722;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.013215859;NA;NA;NA;NA;NA
9;2004;NA;NA;0.019230769;NA;-0.017391304;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.004424779;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.008810573;NA;NA;NA;NA;NA
9;2004;NA;NA;-0.018867925;NA;-0.004366812;NA;NA;NA;NA;NA
9;2004;NA;NA;-0.038461538;NA;0;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.004385965;NA;NA;NA;NA;NA
9;2004;NA;NA;0.06;NA;0;NA;NA;NA;NA;NA
9;2004;NA;NA;-0.056603774;NA;-0.013100437;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0.013274336;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
9;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0.04;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;-0.038461538;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0.02;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0;NA;0.021834061;NA;NA;NA;NA;NA
10;2004;NA;NA;0.039215686;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;-0.056603774;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0.04;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;-0.057692308;NA;-0.012820513;NA;NA;NA;NA;NA
10;2004;NA;NA;0;NA;0.017316017;NA;NA;NA;NA;NA
10;2004;NA;NA;0;NA;0.034042553;NA;NA;NA;NA;NA
10;2004;NA;NA;0.06122449;NA;0.032921811;NA;NA;NA;NA;NA
10;2004;NA;NA;0.019230769;NA;-0.003984064;NA;NA;NA;NA;NA
10;2004;NA;NA;0.056603774;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;-0.017857143;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0.036363636;NA;0;NA;NA;NA;NA;NA
