"","Group.1","Group.2","ERSTE.GROUP.BANK..PRA.","VIENNA.IN.GROUP..PRA.","CENTRAL.EUR.MEDIA..PRA.","PHILIP.MORRIS.CR","CEZ","KOMERCNI.BANKA","MONETA.MONEY.BANK","KOFOLA.CESKOSLOVENSKO","UNIPETROL","TELF.O2.CZECH.REPUBLIC","STOCK.SPIRITS.GROUP.PRA.","PEGAS.NONWOVENS","FORTUNA.ENTM.GROUP"
"63",3,2009,-0.000333882979944061,-0.000125198299764425,8.43188149011755e-05,-2.0650225230308e-05,-2.72817677560692e-05,0.000502786349725296,NA,NA,0.000312511190813062,-1.47334555897195e-05,NA,-9.8952722827123e-05,NA
"64",4,2009,0.000542625440998726,0.000421955875627299,-0.00016833990086386,-3.33781518898399e-05,1.75873616126497e-05,0.000626122213158088,NA,NA,0.000140489247674997,2.99518948165972e-05,NA,-0.000103483017761977,NA
"65",5,2009,0.000871680120912271,7.75683800377666e-05,0.000151549509326986,-1.08732623452662e-05,-0.000115686648410867,0.000230515206454507,NA,NA,-0.16078964711216,-5.26256709890387e-06,NA,-0.000291018814559292,NA
"66",6,2009,0.000294983432964828,0.000132777492652689,0.000205420170757718,1.545294740715e-05,-0.000101503659340568,7.0497821835827e-05,NA,NA,-0.000111480077400277,-8.46899062817632e-06,NA,2.79219480497191e-06,NA
"67",7,2009,0.000399720330546898,-1.88535252889147e-05,9.84593339983834e-05,7.86681566942048e-05,2.65214897090042e-05,9.14578576367024e-05,NA,NA,-3.64326870821963e-05,-1.7145222730514e-06,NA,1.43118933389003e-05,NA
"68",8,2009,-0.000355306362020658,5.20520545175235e-05,-0.000197527630993833,-9.49768737303916e-05,1.10606227101816e-06,7.07916273009276e-05,NA,NA,-7.27183921954786e-05,-6.50100470927541e-05,NA,-0.000127256006748565,NA
"69",9,2009,7.86940407447454e-05,-9.42261221008013e-06,-0.000218839846660775,-0.000128387590190856,-1.31001945285468e-06,-8.5515604397549e-05,NA,NA,-7.24317932244493e-05,-5.77245040185027e-05,NA,1.88071569813084e-05,NA
"70",10,2009,-2.11466398810691e-05,7.41348751165804e-05,0.000496129298087222,-2.64691271797236e-05,-9.60540706472135e-05,-1.40817959244266e-05,NA,NA,-9.09026459967867e-05,-6.82749247100335e-05,NA,-3.2136402727308e-05,NA
"71",11,2009,-3.31224299902885e-05,-0.000235512637575217,3.97885879009446e-05,-0.000101484893769638,-2.6876359956673e-05,-1.58621742028143e-05,NA,NA,-7.540825524077e-05,-3.25329841860908e-05,NA,-1.47831236762958e-05,NA
"72",12,2009,-2.19304016662878e-05,-4.02308867898437e-05,0.000110076696367773,-4.96623641465291e-06,-1.48863016732714e-05,3.85959242127326e-05,NA,NA,1.62607067541657e-05,-1.94192492754419e-05,NA,4.72408253947794e-06,NA
"73",1,2010,3.11162627324919e-05,1.55149952933708e-05,0.00016636550712432,2.33784723319481e-05,6.61213615625721e-06,-2.74021632415247e-05,NA,NA,-5.61361897621511e-05,-1.56222384934674e-05,NA,-4.59113510285036e-05,NA
"74",2,2010,9.02924569507343e-05,-3.96318111719476e-05,8.08892591123479e-06,-3.01291690031283e-05,-1.3063007472391e-05,1.64824280993451e-05,NA,NA,-5.58621479674976e-05,3.26303236494867e-05,NA,-8.35543804497867e-06,NA
"75",3,2010,-1.17841147801975e-06,-2.89995496584461e-05,5.63347928278162e-05,-2.86457156269801e-06,-1.86294151044038e-06,1.37031340037996e-05,NA,NA,2.02251294709283e-08,-7.0481295381805e-06,NA,9.52936421613101e-06,NA
"76",4,2010,-5.53384046714146e-06,-1.46477173932878e-05,8.7877753642945e-05,7.63796078699452e-05,-1.14346554277652e-05,4.28702952886527e-05,NA,NA,-0.0683660320127358,-1.16191099512366e-05,NA,2.63339202339462e-05,NA
"77",5,2010,-0.000858640307982039,-0.000196762130413934,-0.000546058202716078,-4.38844966008295e-05,-7.58368885699838e-05,1.40194158357461e-05,NA,NA,-8.72686208574592e-05,-2.56789261520131e-05,NA,-0.000100677589786217,NA
"78",6,2010,0.000109368535678825,-3.23577420398955e-05,0.000371100895446223,-8.51733479748377e-06,5.54957277978361e-05,-4.26263877089102e-05,NA,NA,-0.000128031915085374,9.77409186834659e-06,NA,-0.000191487334150309,NA
"79",7,2010,-1.53778899730688e-05,2.37011694545638e-05,2.52850722644708e-05,2.64683448156958e-05,-1.60678441408818e-05,-8.59585985242447e-05,NA,NA,-2.51386699623997e-05,2.23470915612668e-05,NA,-3.04230312614577e-05,NA
"80",8,2010,6.97311694371202e-06,8.96919284544215e-06,0.00010057513439796,-0.000162744730206334,-2.91710313745638e-06,-0.000109412250252012,NA,NA,-7.47919236717504e-05,1.47562501232288e-05,NA,-1.988444836539e-05,NA
"81",9,2010,-1.86902143170756e-05,2.69780272725459e-06,-0.000127745321600955,-2.17662213684929e-05,-3.0176604231859e-05,1.23300838561685e-05,NA,NA,-2.70103869511861e-05,7.61032851946092e-05,NA,-3.83708220862086e-05,NA
