"","Group.1","Group.2","ENERGIJOS.SKIRSTYMO.OPERATORIUS","TELIA.LIETUVA","AGROWILL.GROUP","AMBER.GRID.AB","APRANGA","GRIGISKES","GUBERNIJA","INVALDA","INVL.BALTIC.FARM","INVL.TECHNOLOGY","K2.LT.AB","KAUNO.ENERGIJA","KLAIPEDOS.NAFTA","LIETUVOS.ENERGIJA","LINAS","LINAS.AGRO.GROUP","LITGRID","PANEVEZIO.STATYBOS.TTAS.","PIENO.ZVAIGZDES","ROKISKIO.SURIS","SIAULIU.BANKAS","SNAIGE","UTENOS.TRIKOTAZAS","VILKYSKIU.PIENINE","VILNIAUS.BALDU.KOMBINATA","VILNIAUS.DEGTINE","ZEMATIJOS.PIENAS"
"20",11,2004,NA,0.00626445992492269,NA,NA,0.00922275616415614,0.0117196352194642,0.00908305261982821,0,NA,NA,NA,0,0.017014310420118,NA,0,NA,NA,0.00242198362877328,0.0116028704159246,0.00712702234916864,0.0366792353559935,0.00420076222325185,0.00853489714531635,NA,0.0252777637305305,0.0249814694972849,0.0152713747713015
"21",12,2004,NA,0,NA,NA,0.0148701168435392,0.0203884130822812,0.0194054224043885,0.0232371790492803,NA,NA,NA,0,0.0239241070849081,NA,0.0312701867170105,NA,NA,0,0.0123452412299228,0.0153853970891075,0,0,0.00574503074741785,NA,0.0149015994738768,0,0.0073378023224875
"22",1,2005,NA,0,NA,NA,0.00941098387880062,0.0112094524316603,0.00403593967497126,0,NA,NA,NA,0.00759983963747538,0.0201075782769063,NA,0.0213061158700734,NA,NA,0,0.010942372185905,0.0174306682434145,0,0.00492625589042951,0.0131091824745532,NA,0.0122158319689248,0.0310419713958733,0.0165645220050353
"23",2,2005,NA,0,NA,NA,0,0.0242190643611807,0.00491580059116813,0,NA,NA,NA,0,0.0133105166790809,NA,0.0224766897581095,NA,NA,0,0.0261986881755093,0.00540385175459129,0.014010543433868,0,0,NA,0,0.0393373269391386,0.0155996997742828
"24",3,2005,NA,0,NA,NA,0,0.0148992822290728,0,0.00896598210724112,NA,NA,NA,0,0.00906763572083086,NA,0,NA,NA,0,0.00280859733727519,0.0114998225459616,0.0239226469660966,0,0,NA,0.0102305381749181,0.0212778239195446,0
"25",4,2005,NA,0,NA,NA,0.00809364558698081,0.023572691339294,0.0173273410040613,0.00861703561062834,NA,NA,NA,0.0170416197203356,0.00456043499459484,NA,0.0277588420385395,NA,NA,0.00835017130913189,0.0154435302427759,0,0.00250238623460748,0,0.0179590039926657,NA,0.0113059948813263,0.024218677885621,0.00700291718798942
"26",5,2005,NA,0.00624697448843811,NA,NA,0,0.0130731278260793,0.0253315941757611,0.0101102288004993,NA,NA,NA,0.0298952709618447,0.0211589481537386,NA,0.0194114962040679,NA,NA,0,0.00973033728167685,0.0104307267927398,0.0196362183218061,0,0,NA,0.0058369370622994,0,0.0125405182044862
"27",6,2005,NA,0,NA,NA,0.00354530467614968,0.0103413480726591,0.028442378851803,0.00286075233299958,NA,NA,NA,0.02623003035273,0.0154614944357357,NA,0.000942010311525906,NA,NA,0,0,0,0.0121816112099191,0.00899044982843998,0.0091262423714037,NA,0.0150129785456474,0.038926079150077,0
"28",7,2005,NA,0.00385710045842798,NA,NA,0.0116677232195891,0.0139607744785469,0.126460076082855,0.00776615270498084,NA,NA,NA,0,0.0184122122209161,NA,0.00379991981873769,NA,NA,0,0.00163170522031946,0,0.00821326928249795,0,0.0171168330630703,NA,0.00620427872052149,0.011920905756529,0.0193367023208208
"29",8,2005,NA,0.0113567940421711,NA,NA,0.0104293850675411,0.0191329834525415,0,0,NA,NA,NA,0,0,NA,0,NA,NA,0.0112833631615489,0,0.011222300620035,0,0,0.031691436064109,NA,0.0155823762486757,0.0644060000049658,0.0244963586405613
