"","Group.1","Group.2","ARCA.CONTINENTAL","ALFA.A","ALPEK.DE.CV","ALSEA.DE.CV","AMERICA.MOVIL.L","GRUPO.AEROPORTUARIO.DEL.SURESTE.B","GRUPO.BIMBO.A","BOLSA.MEXICANA.DE.VALORES","CEMEX.CPO","GRUPO.ELEKTRA","FOMENTO.ECONOMICO.MEXICANO","GRUPO.AEROPORTUARIO.DEL.PACIFICO","GRUPO.CARSO.SERIES.A1","GENTERA","GRUPO.FINANCIERO.INBURSA.SRIES.O","GPO.FINANCE.BANORTE","BANREGIO.GRUPO.FINANCIERO","GRUPO.MEXICO.B","GRUMA","INFRAESTRUCTURA.ENERGETICA.NOVA","KIMBERLY.CLARK.DE.MEXICO.A","COCA.COLA.FEMSA.L","GENOMMA.LAB.INTERNATIONAL","GRUPO.LALA","EL.PUERTO.DE.LIVERPOOL.C1","MEXICHEM.DE.CV","NEMAK","OHL.MEXICO","GRUPO.AEROPORTUARIO.DEL.CENTRO.NORTE.B","INDUST.PENOLES","PROMOTORA.Y.OPRD..INFRE.","GRUPO.FINANCIERO.SANTANDER.MEXICO.B","GRUPO.TELEVISA","CONTROLADORA.VUELA.COMPANIA.DE.AVIACION","WALMART.DE.MEXICO.V"
"25",1,2006,0.0108918380887705,0.00589883163568203,NA,0,0.01310004828018,0.0132745735026013,0.0135720451708855,NA,0.0156671622859349,0,0,NA,0.0155434430306468,NA,0.0257906806709443,0.019429470808915,NA,0,0.0182415752926247,NA,0.0073990956630932,0,NA,NA,0.00255127085934192,0.0071369231103872,NA,NA,NA,0,0.0309873737566676,0,0,NA,0
"26",2,2006,0.00840651455217649,0,NA,0,0,0,0.00989205918192425,NA,0,0.0092070312522417,0,NA,0.010931866323231,NA,0.00974531584671966,0.0286540097708899,NA,0.0114514095747178,0,NA,0.0114510921361106,0.0172435154112759,NA,NA,0.000210314232524873,0.00977858180882567,NA,NA,NA,0,0,0.0107775972381697,0,NA,0.0130193186491485
"27",3,2006,0,0,NA,0.0103866848102887,0,0.00649928893954126,0,NA,0,0,0,0,0,NA,0.0382032943384609,0,NA,0,0,NA,0,0.00693684043866689,NA,NA,0,0.00609726094979459,NA,NA,NA,0,0.00622593369517274,0.00666485758596284,0,NA,0
"28",4,2006,0.0124867618471116,0,NA,0,0.00407935279341036,0.0256037881788586,0.00875377187460685,NA,0,0,0.00982659384609441,0,0,NA,0.0111019890655004,0,NA,0.0175229716033131,0,NA,0,0.00397426141833428,NA,NA,0.000698586381073976,0,NA,NA,NA,0.0253129730056612,0.0116497365708183,0,0,NA,0
"29",5,2006,0.00589759096230919,0.0125850279549727,NA,0.0265219929131361,0,0.0211482933253337,0.0111429502551387,NA,0,0,0.0253935219997613,0.0100583557433529,0,NA,0.0137549670241561,0,NA,0,0.0263693369139311,NA,0.0109105838667192,0.0125770528599229,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,0
"30",6,2006,0,0,NA,0,0,0.0197974425918914,0.0162750685475479,NA,0,0,0,0.0293580065744478,0,NA,0.0112421039407049,0,NA,0,0,NA,0.0143715628968741,0,NA,NA,0,0,NA,NA,NA,0,0,0.0137533065163354,0,NA,0
"31",7,2006,0.00795940860835898,0.0147550816469136,NA,0.0205729898752057,0.012506502303274,0,0.0203780635375086,NA,0.00302572418452259,0.0206808730306517,0,0.0117121277340012,0,NA,0.00990458594216513,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,0.0151814640129212,0.0151416652264343,0.0105015838611533,NA,0
"32",8,2006,0,0,NA,0,0.00212128624680323,0.00737567801689603,0.0039789418995097,NA,0,0,0.00335400405147673,0.0219976066764442,0.00474911707224743,NA,0,0,NA,0.00512269630322458,0,NA,0,0,NA,NA,0.00111511285441905,0,NA,NA,NA,0,0,0,0.000507625747450022,NA,0
"33",9,2006,0,0.00961623628719444,NA,0.00647748620166228,0,0,0,NA,0.00445532367688771,0,0.00671971574823368,0.0175211677744582,0.0164186419204966,NA,0.0186207455137513,0.00822337258303651,NA,0,0.0111935227689058,NA,0.010338081195899,0,NA,NA,0.00155489059589435,0.00507514771010496,NA,NA,NA,0,0,0,0,NA,0.0101432412187632
"34",10,2006,0.0134833791427182,0,NA,0,0,0.00725088190194205,0.0155362269913085,NA,0,0,0.00844431064301903,0.0115545050526838,0,NA,0,0.00678719890170561,NA,0,0.00934071604836124,NA,0,0.0160350337628905,NA,NA,0.0149854385752356,0.00506911935393173,NA,NA,NA,0,0,0.0106243432369157,0,NA,0.0147717531187044
