"","Group.1","Group.2","KRKA","PETROL","TELEKOM.SLOVENIJE","ZAVAROVALNICA.TRIGLAV","CETIS.REDNE","CINKARNA.REDNE","DATALAB.TEHNOLOGIJE","DELO.PRODAJA","GEA.TOVARNA.OLJA","GORENJE","GRAND.HOTEL.UNION","INLES.RIBNICA.REDNE","INTEREUROPA","ISTRABENZ","KD","KOMPAS.MTS","KS.NALOZBE","LUKA.KOPER","M1.FINANCNA.DRUZBA","MELAMIN.REDNE","MERCATOR","MLINOTEST","NAMA","NIKA.REDNE","POZAVAROVALNICA.SAVA","SALUS.REDNE.SERIJA.B","SIVENT","TERME.CATEZ.REDNE","TOPLICE.DOBRNA","UNIOR.KOVASKA","ZDRAVILISEE.ROGASKA.REDN"
"33",9,2006,0,0.733040892426745,NA,NA,0.0476127898860154,4.63594455394504,NA,0,0.00363259577943767,0.00463532028153065,0.0293320738380938,NA,0.00751116629509894,0.0276648066453566,NA,0.0101369118404166,NA,0.00195698647568665,0,0.00281258592201557,0.580763895525875,0.00521624833521119,0.0292835710801687,0,NA,0.429112328247777,NA,0.0202198322910104,0.00977246867124357,NA,NA
"34",10,2006,0,0,0.0102490338460503,NA,0.00197178004086056,0.0673796908720985,NA,0.00678963123388136,0.0161653109193991,0,0.00291555211714753,NA,0.0137850892582856,0.0118682862952025,NA,0,NA,0.0057565270344347,0.00523077956202014,0.0154369960989255,0,6.91482486917989e-06,0.0389799166720789,0.00289936554576758,NA,0.67949684237578,NA,1.53217682554445,0,NA,NA
"35",11,2006,0,0,0.00255922607087844,NA,0.0122579040005335,0,NA,0.0098171126511292,0,0.00593869197311396,0.000574578441379741,NA,0.0099199112493696,0.0164319430127687,NA,0.0127356767862619,NA,0,0.00811781261306657,0,1.04264263419884,0,6.67967491630572e-05,0.00281571168428446,NA,0.169590910031615,NA,0.58131812190291,0.0203824668206494,NA,NA
"36",12,2006,0.000491896834655911,0.00788993395196203,0,NA,1.01374244089491,0,NA,0.0134916291912099,0,0,0.0076625537954206,NA,0.0163730009105918,0,NA,0,NA,0,0.00649367338233713,0.023204682489428,0.0127858201734968,0.0597390692151038,0.00151698748090183,0.00163459240406414,NA,0.0255008345854295,NA,0,0.00018223417229953,NA,NA
"37",1,2007,0.00659186758783189,0,0.009159092751169,NA,0.0130989078484066,0.0205206911890733,NA,0,0.000278588089174355,0.0102561879339677,0.00418092646509293,NA,0.0177142015180715,0,NA,0,NA,0,0.0558668494705163,0.00759998139136,0.835090622695413,0.00531667787135327,0,0.000241175366139495,NA,0.00291079696313691,NA,0,0,NA,NA
"38",2,2007,0,0.00484124882189177,0,NA,0,0.104138446251013,NA,0.00462665221381615,0.00140519245653679,0.0105122990405651,0.00276350636494054,NA,0.0169068460401724,0,NA,0,NA,0.012984669898309,0.00325506017722724,0,0.0139155965585374,0.0014402400610543,0,0,NA,0.0503015067356094,NA,0.0264171163123079,0.0119650330587481,NA,NA
"39",3,2007,0,0.00862869137078566,0,NA,0.0125433995924014,0,NA,0,0.0189353745745093,0,0,NA,0,0,NA,0.00975900072948533,NA,0,0.00451173212606799,0.0120028426806325,0.0342928945942485,0.00788788741607961,0,0,NA,0.0348396630226051,NA,0.019181952761566,0.0029277002188456,NA,NA
"40",4,2007,0.00900223672103181,0.530401101746398,0,NA,0.047029122046986,0.0308047514641546,NA,0,0,0.0120794238249512,5.3562020653287e-05,NA,0.0382458417973332,0,NA,0,NA,0,0,0.0112199401332579,0,0,0.0513085393318414,0.00520070680577502,NA,0.0269536226350205,NA,0.0137063434825002,0.00278906736289949,NA,NA
"41",5,2007,0.00351094237757189,0.0176220975627571,0.601519117527583,NA,0.012271711976565,0.019755482558232,NA,0.00372193684159388,0.0116026276400311,0.00981592424493698,0.0120759832207493,NA,0.00611450511214326,0.0210272103745478,NA,0,NA,0,0.0104462303895017,0.00466282377241619,0,0.0164797694494688,0.0169178947514355,0.00430859246582195,NA,0.0353488982290118,NA,0.0105324256603533,0.000557176178348709,NA,NA
"42",6,2007,0,0.00892329846787313,0.0110413897839396,NA,0.0122972685192891,0.0115551843336437,NA,0.00394607053759005,0,0,0.0234872697526365,NA,0,0.0171097240203151,NA,0.00932707593737393,NA,0,0,0,0.0190545019702702,0.00932707593737393,0,0,NA,0,NA,0,0,NA,NA
