"","Group.1","Group.2","CEZ","KOMERCNI.BANKA","TELF.O2.CZECH.REPUBLIC","UNIPETROL","MONETA.MONEY.BANK","PHILIP.MORRIS.CR","BOREALIS.EXPLORATION","E4U","ENERGOAQUA","ENERGOCHEMICA","FORTUNA.ENTM.GROUP","JACHYMOV","KOFOLA.CESKOSLOVENSKO","PEGAS.NONWOVENS","PRAZSKE.SLUZBY","RM.S.HOLDING","SAFETY.REAL.INVESTICNI.FOND","TOMA","CENTRAL.EUR.MEDIA..PRA.","ERSTE.GROUP.BANK..PRA.","NEW.WORLD.RES...PRA.","PHOTON.ENERGY..PRA.","STOCK.SPIRITS.GROUP.PRA.","TATRY.MOUNTAIN..PRA..RESORTS.6","VGP..WI...PRA.","VIENNA.IN.GROUP..PRA."
"39",3,2007,0.0228135646678226,0,0.00587730899505421,0.016670066703966,NA,0.0153778290049153,NA,NA,0,NA,NA,0.00487565697748537,NA,0,0.000580892905211746,0,NA,0.00117049484026449,0.0121506183972409,0,NA,NA,NA,NA,NA,NA
"40",4,2007,0.0103090649580214,0,0.00219098910067342,0,NA,0.0271399405136139,NA,NA,0.00144503992817918,NA,NA,0,NA,0.00304368279723831,0,0,NA,0.00641958943489193,0.00987648675766617,0.0117361947306639,NA,NA,NA,NA,NA,NA
"41",5,2007,0,0,0,0.0147907504457762,NA,0,NA,NA,0,NA,NA,0,NA,0.017052086980056,0.00278588089174355,0,NA,0.00463892158706789,0.0110730107419398,0.0105772833843872,NA,NA,NA,NA,NA,NA
"42",6,2007,0.0104179325138443,0.0114897646921463,0,0.0153276632380518,NA,0.00912020021735629,NA,NA,0,NA,NA,0,NA,0.00581507731155319,0,0,NA,0.00311918041198764,0.0191402265655325,0.00651966238010609,NA,NA,NA,NA,NA,NA
"43",7,2007,0.0101115673500807,0.00265036467828196,0.00430253505874873,0.00807598011363709,NA,0.0057700218579332,NA,NA,0,NA,NA,0,NA,0.0085910629212741,0,0,NA,0.00487831054737373,0.0140034602646831,0,NA,NA,NA,NA,NA,NA
"44",8,2007,0.022123800954516,0,0,0.0231654433388577,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0.00540742121616664,NA,NA,NA,NA,NA,NA
"45",9,2007,0.00491020343287175,0,0.0150334942991943,0.00268697405572682,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0.0057678727152668,NA,0.010807802109751,0,0,NA,NA,NA,NA,NA,NA
"46",10,2007,0,0,0.00858495269297925,0,NA,0.011474760365433,NA,NA,0,NA,NA,0,NA,0,0,0,NA,0.00928099807389956,0.00625775486136671,0,NA,NA,NA,NA,NA,NA
"47",11,2007,0,0.0143350949199657,0.00700206847805162,0.00631842570526551,NA,0.0211406580110061,NA,NA,0,NA,NA,0,NA,0.0106929895049336,0,0,NA,0.00974163595394732,0.0109210831986235,0,NA,NA,NA,NA,NA,NA
"48",12,2007,0.0129460451749131,0,0,0.00851341571971681,NA,0,NA,NA,0,NA,NA,0,NA,0.00912983128122961,0,0,NA,0,0.0110507270137618,0.00702797037117909,NA,NA,NA,NA,0.0241708867684122,NA
