"","Group.1","Group.2","TALLINK.GROUP","ARCO.VARA","BALTIKA","EKSPRESS.GRUPP","HARJU.ELEKTER","LHV.GROUP","LINDA","MERKO.EHITUS","NORDECON","OLYMPIC.ENTM.GROUP"
"87",3,2011,0,0.0140768825730411,0,0,0.0270903228290972,NA,NA,0.0185381705344277,0.0119844319377779,0
"88",4,2011,0.0137011308387206,0.0148799734646081,0.0300139487527265,0.0136953726745951,0.0149624765201648,NA,NA,0.0109899660229679,0.0138432558513971,0.0214422688552783
"89",5,2011,0.00975025197246233,0.0174081571736876,0,0.0223756826563504,0.0132365699765966,NA,NA,0,0.0223214576728608,0
"90",6,2011,0.0139013305286756,0.0328125514350535,0,0.0276472664407129,0,NA,NA,0,0.0102711214458492,0
"91",7,2011,0,0.0236278027865857,0,0,0,NA,NA,0,0.0146652240345036,0
"92",8,2011,0.00940245996066942,0.027316614209901,0.0747170683758542,0,0.0563998269071252,NA,NA,0.0343813372891802,0.0282987724427813,0
"93",9,2011,0,0.0788021347894342,0.0198526894751514,0.0180222312488741,0.00333468778621033,NA,NA,0.0359510779207658,0.0418192970807093,0
"94",10,2011,0.0178919502085087,0.0393361094056455,0.0264193069769188,0.044141994864259,0.0123145202733155,NA,NA,0.0475887585664811,0.031024807972467,0.0215498140091696
"95",11,2011,0.0246796398913645,0,0.0607375590305154,0.0540391422330067,0.046555489855701,NA,NA,0.022839753808287,0.0224847771071791,0.0299239502832811
"96",12,2011,0.0171158966359153,0.0802373888724894,0.00428808425132172,0.0337043375806828,0.0201457684496297,NA,NA,0.0365600073571269,0.0104470025630119,0.0107105640133308
"97",1,2012,0.0112529795489066,0.103606249731003,0.0449348478325412,0.0264951048877455,0.0231725907255597,NA,NA,0.0219630748900333,0.00882398571429047,0.0151355924025138
"98",2,2012,0,0.0446092822945235,0.0760368814255985,0,0.0219544502419446,NA,NA,0.0317753269142429,0.0164508224599152,0.0185042517756078
"99",3,2012,8.65557979400461e-05,0.0298750688752582,0.0256562311294566,0,0.0302632376449267,NA,NA,0.0271952439921115,0.016336920215221,0.0140601564284865
"100",4,2012,0.00299642898112457,0.0228144495294659,0.012033701022816,0.00896950342830216,0.0125040884132678,NA,NA,0.0116832057885988,0.00803082420193866,0
"101",5,2012,0.00905765772716287,0.00842419979520926,0.0248057084479115,0.0239489845233636,0.0171737046529606,NA,NA,0.014833386015518,0.0119662233502178,0.0151898803687298
"102",6,2012,0,0,0.00775736475998404,0.0233600513507482,0.0119470007682847,NA,NA,0.00602542604471729,0,0.00567187254554107
"103",7,2012,0.00814923857280351,0.0391999413641672,0.0430120886894207,0.0218331658879167,0.0281595436114938,NA,NA,0,0.00333530889973561,0
"104",8,2012,0.0103919615717639,0,0,0.0320916463544012,0,NA,NA,0,0.0146854555473374,0.00972050937386098
"105",9,2012,0.0148608459452971,0,0,0.0303236501929691,0.0152985695234558,NA,NA,0.0183488415309743,0.0143194209612095,0.0137295386195996
"106",10,2012,0.00964538019028453,0.0541535894579824,0.0188185413264103,0.0162724376566437,0.0186425502071537,NA,NA,0.014184773842368,0.0102926778986498,0.00889246560826916
"107",11,2012,0,0.019325743038356,0,0.0185183389143264,0,NA,NA,0,0.0205497753379869,0.00160426367008677
"108",12,2012,0,0.0182387614485465,0.0144171031200674,0.0250008448010424,0.0203726176966064,NA,NA,0.0132625418674918,0.00881951944495085,0
"109",1,2013,0,0.0546798769385412,0,0.0200671294278343,0.0173744443351438,NA,NA,0.0125518628053688,0,0.00262049941114467
"110",2,2013,0.00883625444760446,0.0547809578606932,0.0181244687922402,0.000856855560070451,0.0321750233051419,NA,NA,0.0275760360766494,0.00998194328790377,0.00151420606671566
"111",3,2013,0.0192517057376336,0,0.0100674950603963,0,0.0116354424982285,NA,NA,0.0181488444898903,0.0131105821647536,0.00727417093873083
"112",4,2013,0.0140214546352186,0.0470048260497524,0.00529950429224401,0,0.0112604449433702,NA,NA,0.0102443652870118,0.0193764297094374,0
"113",5,2013,0,0.0173591558969304,0.00720797206512577,0.00199458197564109,0.0123899122332823,NA,NA,0.0138858018427279,0,0.010379897487757
"114",6,2013,0.0128525684113661,0.0421210306502737,0,0.0131108358310961,0.019494525010535,NA,NA,0.0152816652182219,0.0260866122894184,0
"115",7,2013,0.0130716018539031,0.0118712944086932,0.0234151084184151,0.0124661204253227,0.0150435793128875,NA,NA,0.0149377193727562,0.0119639558773465,0.00419050624257216
"116",8,2013,0.00714280981935959,0.0293729501670489,0.023795960207215,0.00941905286764006,0,NA,NA,0.0088839752811122,0.0142621875966839,0.00566363365943385
"117",9,2013,0.0105364378615387,0.0198236065212743,0,0.0229834996001568,0.00892404866594351,NA,NA,0.0107681188617838,0.0161757495610783,0
"118",10,2013,0.00851913631344107,0.00451215023604514,0,0.0151674834098101,0.00786897486302288,NA,NA,0,0.0177969487761425,0.00919416377253028
"119",11,2013,0.0143824134023138,0.0161383114620746,0,0.00831203772864611,0.00950826376174744,NA,NA,0.0134256805652922,0.0236673140570275,0
"120",12,2013,0,0,0,0,0,NA,NA,0.00258888263334046,0,0
"121",1,2014,0.0116087498428466,0.0228743802765286,0.0147287510580206,0.0152036624749692,0.00727202925886181,NA,NA,0.00631000139468601,0.00838962402968634,0
"122",2,2014,0.0146300251070311,0.0283649538496358,0.0270602699724142,0.0158190147642794,0.0124058428364641,NA,NA,0,0.0148095173302536,0
"123",3,2014,0,0.0473326377041986,0.038767320029633,0.0247066855516188,0.0135690812300138,NA,NA,0.0158492031419648,0.0159071256464896,0
"124",4,2014,0,0.0321943365771501,0.0138996527076648,0.0219140793013851,0.00289728782807311,NA,NA,0.00426748036137237,0.0209376570220634,0.000747136354526554
"125",5,2014,0.0105931835362462,0.00750037230630695,0.0514249402114873,0.0166149199415262,0,NA,NA,0,0.0159902285394552,0
"126",6,2014,0.0112761557231108,0.0605295401080309,0.031068271957478,0.0077349160491981,0.0267065023781884,NA,NA,0.00798709059376096,0.0080661356547977,0.00792846081610094
"127",7,2014,0.00535669124491875,0.0573150162259754,0.0261592016579949,0.011979060460537,0.00439881442876066,NA,NA,0.0105108046150973,0.0165542257509935,0.0100582388890013
"128",8,2014,0.00889288589113722,0.0317201223407334,0.0075493047453151,0.022452308804754,0.0196449289175694,NA,NA,0.00895381694562119,0.0136332161036503,0.00412580117223251
"129",9,2014,0.0154860729181288,0.0277924348166148,0.00803698210708394,0.0181179632407401,0.0117718310653007,NA,NA,0.00291016804682123,0.0191332629016402,0
"130",10,2014,0,0.0368673554802601,0.0141298023939942,0.0261506441146469,0.00925162543405785,NA,NA,0.0160208447018998,0.0130610344207519,0
"131",11,2014,0,0.0209983690888098,0.00975781102281481,0.00858799992552645,0.00905022751986382,NA,NA,0.0131767548190956,0.0102696954173203,0.00732824225327046
"132",12,2014,0.0142509428039207,0.0279602230195731,0.0215070861871089,0.0202563393929728,0,NA,NA,0.00887719427215554,0.0131074162653233,0
