"","Group.1","Group.2","EDP.ENERGIAS.DE.PORTUGAL","GALP.ENERGIA.SGPS","JERONIMO.MARTINS","EDP.RENOVAVEIS","BANCO.COMR.PORTUGUES.R","BANCO.BPI","NAVIGATOR.COMP","NOS.SGPS","SONAE.SGPS","ALTRI.SGPS","CCT.CORREIOS.DE.PORTUGAL","CORTICEIRA.AMORIM","MOTA.ENGIL.SGPS","REN","SEMAPA","SONAE.COM.LIMITED.DATA","CIMENTOS.DE.PORTL.SGPS","CIPAN.LIMITED.DATA","COFINA","COMPTA","CONDURIL.ENGENHARIA.LIMITED.DATA","COPAM.LIMITED.DATA","ESTORIL.SOL.B","F.RAMADA.INVESTIMENTOS","FENALU.LIMITED.DATA","FUTEBOL.CLUBE.DO.PORTO","GI.GLB.INTEL.TECHS.SGPS","IBERSOL...SGPS","IMMOBL.CON.GRAO.PARA","IMPRESA.SGPS","INAPA","INTEL.SENSING.ANYWHERE","LISGRAFICA","LITHO.FORMAS.PORTUGUESA.LIMITED.DATA","LUZ.SAUDE","MARTIFER","MEDIA.CAPITAL","MONTEPIO","NEXPONOR.SICAFI.REIT","NOVABASE","OLIVEIRA.AND.IRMAO.LIMITED.DATA","OREY.ANTUNES","PATRIS.INVESTIMENTOS","PHAROL.SGPS","REDITUS","SAG.GEST","SDC.INVESTIMENTOS","SOCIETY.AGUAS.DA.CURIA.LIMITED.DATA","SONAE.CAPITAL","SONAE.INDUSTRIA.SGPS","SONAGI.LIMITED.DATA","SPORT.LISBOA.E.BENFICA.FUTEBOL","SPORTING.CLUBE.DE.BRAGA","SPORTING.LIMITED.DATA","SUMOL.COMPAL","TEIXEIRA.DUARTE","TOYOTA.CAETANO","TRANSINSULAR.LIMITED.DATA","VAA.VISTA.ALEGRE.ATLANTI","BANCO.SANTANDER..LIS.","EURONEXT..LIS.","ESTORIL.SOL.R"
"66",9,2008,0.0401583792921166,0,0.0272124324353922,0.0452269754512395,0.0307101836353398,0.0371100552534071,0.0238458908306984,0.011388487500303,0.0283013624498589,0.0209905446578183,NA,0.0243478776490572,0.0170592774322983,0.0356779262792803,0.0154281833488193,0.0277956333869157,0.0266570364885683,0.084176120951146,0,0.0457285695077958,0,0,0.0183736885262631,0,0,0.0271694417700589,0.0161507871586178,0,0.00385699866645198,0.0289658636000311,0.0188427243231126,NA,0.0806931602175863,0.0973687165858618,NA,0.0184675643159349,0.00096623768632627,NA,NA,0.0135887567880186,0,0.0157373148353622,NA,0.0233608746342643,0.0083579949277051,0.0198635519477756,0.0104186090085446,0,0,0.0235483346424513,0.0567779086413667,0.0202081162736296,0.0156735466645877,0.0849320955152251,0,NA,9.85756663685317e-06,0,0.01604441367535,0.0297851539420852,NA,0
"67",10,2008,0.0182132880557433,0.0149705100143484,0,0,0,0.0262986960976515,0.0220113014099533,0,0,0,NA,0.0124554744907484,0,0,0.0100938946481806,0,0,0.060108762354979,0.0700775473622241,0.0448190119034613,0,0,0.101136565436834,0.0588039110984183,0,0.0438629967090992,0,0,0.108847562575526,0,0.0370264685196783,NA,0.0461906497917052,0.00201502887760946,NA,0,0.0262724953360071,NA,NA,0.0235474883831446,0,0,NA,0,0.0156152025255296,0.0540394145164694,0.0395018022310639,0,0,0,0.0233079620573673,0.0289146072887571,0.00531705261755577,0.0823070709977311,0.0189467354719579,NA,9.48163410396141e-08,0,0.0800673045556537,0,NA,0
"68",11,2008,0,0,0.0108847688451029,0,0,0.0168684771871919,0.0072794184491107,0.0272836542930025,0.0262903862745503,0.0120714397550941,NA,0.0398669434420811,0,0.0214380955759561,0,0,0.00694033357705547,0.0433640630512913,0.0406732508207859,0.0678692358500151,0,0,0.0155042070660524,0.0260933715637932,0,0.0355460777886016,0.036168185295798,0.0209435485948408,0.0450164963884679,0,0,NA,0.0999982318808041,0.0618361533066636,NA,0,0.0436236224865875,NA,NA,0.00646001920316856,0,0.00211881042713484,NA,0,0.0145246056339769,0.00686059306872572,0,0,0.0249721387518358,0,0.165249554325203,0.0112319467914722,0.00774834418480873,0.0417895394537788,0.0505725303000448,NA,0,0,0.0688118099488102,0,NA,0
"69",12,2008,0,0.0292476123990109,0,0.0167787246565819,0,0,0.00549421113282246,0.0108439872761835,0.00702842322766553,0,NA,0.0290805098124701,0.0069396356666061,0,0.0136073073579172,0.00307582313349667,0.0283727571920263,0,0.0287638467693468,0.0195283649525714,0,0,0.021492025055678,0.0381293138667765,0,0.0448134524423397,0.0293641471981268,0.0220265433340992,0.00358498249955375,0.0236909036505946,0.0242348962642196,NA,0.100878507110032,0.0150176295631745,NA,0.0313195462917581,0.0119633684592868,NA,NA,0.0185022293048663,0,0.0266832621211052,NA,0.00782949042390851,0.0178451654394264,0,0,0,0.0232113569050398,0.0168123699842922,0,0.0065782048978013,0.00547343649344166,0.0280160374280079,0,NA,0,0,0.0834743187866684,0.0330311915771647,NA,0
"70",1,2009,0.0195847641230359,0.0213318495185549,0.0212631004933817,0,0,0.0134637853575279,0.0106043594983556,0.00410536897588571,0,0.0182416368434555,NA,0.0260413228193834,0,0.0121068831013625,0.0102956711771765,0,0,0.0563242354984255,0.0253896926362983,0.00750975311836696,0,0.0335368834933421,0.0186025465896932,0.0075419373761391,0,0.0308312450100766,0,0,0.0426493717618494,0,0.0147984318771966,NA,0.189375540332405,0.0450513038018651,NA,0,0.000639934469265103,NA,NA,0,0,0,NA,0,0,0.00466384820648484,0.0217557697283222,0,0,0,0.0487950036474267,0.00764725561818235,0,0.0322649898086193,0.0121464181567649,NA,0.00493645955322037,0,0.0989627214636276,0,NA,0
"71",2,2009,0,0,0,0.0173717984089328,0,0.0190082217009603,0,0.017446647979215,0.0150578367319596,0,NA,0,0.0155066828292427,0,0.0151808645829219,0.0207233026224684,0,0.0425591356897254,0.0135019619738422,0,0.012317336145762,0.0226233824117207,0.021906459125996,0.017150014408455,0,0.0236137805663209,0,0.00288974401706176,0.0036049204335233,0.0123920463410625,0,NA,0.09596846451434,0,NA,0,0.0768864753432865,NA,NA,0,0,0,NA,0.026596855643698,0.0223468105646892,0.0130988122166616,0.00269263536286089,0,0.0279397018640643,0,0.00273791431354295,0.0113899193535738,0.00318081221084268,0.0132201943258891,0.013935694326742,NA,0,0,0.0509050148071255,0.0267136879838659,NA,0
"72",3,2009,0,0,0.0275526552543424,0.0311588522071044,0,0.0270994646374166,0,0.0186030475238399,0.019831529682179,0,NA,0.0200721946592502,0.0185550817399461,0.00954990589140207,0.00907845896190845,0,0.0337431933258314,0.0165442122467461,0.0181158488578755,0.00250230791438752,0.00574058862421902,0,0,0.0416800626886223,0.00975900072948533,0.0198002497425916,0.0203670863155627,0.0127149122546324,0.0857958641700318,0,0,NA,0.138871071311674,0.0405814674528748,NA,0,0.0254291916742609,NA,NA,0.0445864718527115,0,0,NA,0.00650886216598238,0,0.00727086640792216,0.0215595934298831,0,0.0449702720798106,0,0.0156895840012829,0.035017776702548,0,0.0299074401106377,0.0329051657398692,NA,0.00693262343330362,0,0.0685428242786929,0,NA,0
"73",4,2009,0.0122492742808582,0.0102297423348265,0.00954407598274051,0.00993751232848224,0,0,0.00313500319000715,0.0228891400426381,0,0.0263590648250486,NA,0,0.022663409316133,0.0240267441815323,0.0154878090922132,0,0.0433201018509774,0.0207092912654156,0.022950355311213,6.25577320161906e-05,0,0,0.0552121272796602,0.0301964300264095,0.000887181875626848,0.0201895305961645,0.0279531489836323,0,0,0.0257018827110284,0,NA,0.120422895257427,0.010552681228763,NA,0,0.00959099045605656,NA,NA,0,0,0,NA,0.0132138252476939,0.0132108068138422,0.0160549570186624,0.0262514741629658,0.063201147618606,0.025230007094023,0,0,0.0102339827056074,0.00582756727966067,0.0158280312893911,0,NA,0.0265244591643867,0,0.130505251649517,0,NA,0
"74",5,2009,0.00124964847036664,0.0172627586941039,0.0322860475130951,0,0,0,0,0,0,0,NA,0,0,0,0.00595490952040903,0,0.0139901803274743,0.0952467688619735,0.0259968361757655,0.0259580117232938,0.0113997594562131,0.025991451551958,0.0273916064342546,0.0331645375766595,0,0.0346277410630923,0,0,0.000895695414426138,0.0129590121193147,0,NA,0,0.00750165586893104,NA,0,0,NA,NA,0,0,0,NA,0,0.00190095857380373,0.020064247381718,0,0.000924304820774032,0,0,0.084440941622564,0.0563400768495033,0.0293136672317466,0.0391907907474974,0.00822043996584602,NA,0,0,0.0888735372201774,0.00938429127788961,NA,0
"75",6,2009,0.0178169875738273,0.0206641539210184,0,0.0127580361279344,0,0.0105410299817151,0.0100780952106619,0.0154899083724371,0.00881274975418979,0.00992579047598753,NA,0.0225508558902139,0,0.0113534210730893,0,0,0,0,0.010616103192747,0.0606177160251348,0.00975900072948533,0,0.0517490163383982,0.0339774561795491,0,0.0258166793230142,0.0323420168516089,0.00707859463746814,0,0,0.0278591305806085,NA,0.0943717647800833,0.0118237893171583,NA,0.0138106903532853,0,NA,NA,0.0139117592458034,0,0.0102019148156002,NA,0.0151971435522763,0.017625654386667,0.0149205882099353,0,0,0.0150441570338149,0.0191456000043939,0.0637756327639387,0.0349165503734467,0.0201094560427219,0.0369022054762558,0.000442420687240948,NA,0.000834102670659177,0,0.0181536645203167,0.0205815483108126,NA,0
