"","Group.1","Group.2","VENTSPILS.NAFTA","BALTIC.TELEKOM","DITTON.PIEVADKELU","GRINDEKS","GROBINAS.ZV","LATVIJAS.BALZAMS","LATVIJAS.GAZE","LATVIJAS.KUG","OLAINES.KIMISKI...FAR","RIGAS.KUGU.BUVETAVA","SAF.TEHNNIKA","SALDUS.MR","TALSU.MR.DEAD...DELIST.25.04.17","VALMIERAS.STIKLA.SKIEDRA"
"29",5,2006,0.347826086956522,NA,0.347826086956522,0.434782608695652,0.739130434782609,0.478260869565217,0.608695652173913,0.304347826086957,0.173913043478261,0.391304347826087,0.782608695652174,0.956521739130435,0.956521739130435,0.304347826086957
"30",6,2006,0.363636363636364,NA,0.409090909090909,0.227272727272727,0.954545454545455,0.272727272727273,0.5,0.318181818181818,0.318181818181818,0.409090909090909,0.590909090909091,0.909090909090909,0.954545454545455,0.454545454545455
"31",7,2006,0.238095238095238,NA,0.333333333333333,0.380952380952381,0.761904761904762,0.285714285714286,0.523809523809524,0.380952380952381,0.333333333333333,0.428571428571429,0.714285714285714,0.857142857142857,0.857142857142857,0.333333333333333
"32",8,2006,0.217391304347826,NA,0.608695652173913,0.130434782608696,0.869565217391304,0.260869565217391,0.0869565217391304,0.217391304347826,0.304347826086957,0.391304347826087,0.739130434782609,0.695652173913043,0.91304347826087,0.434782608695652
"33",9,2006,0.142857142857143,NA,0.476190476190476,0.285714285714286,0.761904761904762,0.428571428571429,0.19047619047619,0.333333333333333,0.238095238095238,0.19047619047619,0.619047619047619,0.904761904761905,1,0.571428571428571
"34",10,2006,0.227272727272727,NA,0.409090909090909,0.227272727272727,0.636363636363636,0.363636363636364,0.227272727272727,0.272727272727273,0.272727272727273,0.454545454545455,0.636363636363636,0.590909090909091,0.818181818181818,0.636363636363636
"35",11,2006,0.227272727272727,NA,0.727272727272727,0.272727272727273,0.863636363636364,0.136363636363636,0.5,0.409090909090909,0.272727272727273,0.772727272727273,0.681818181818182,0.636363636363636,0.681818181818182,0.590909090909091
"36",12,2006,0.285714285714286,NA,0.523809523809524,0.19047619047619,0.80952380952381,0.142857142857143,0.380952380952381,0.523809523809524,0.285714285714286,0.571428571428571,0.666666666666667,0.714285714285714,0.952380952380952,0.380952380952381
"37",1,2007,0.347826086956522,NA,0.347826086956522,0.173913043478261,0.652173913043478,0.0869565217391304,0.217391304347826,0.434782608695652,0.130434782608696,0.565217391304348,0.434782608695652,0.91304347826087,1,0.434782608695652
"38",2,2007,0.1,NA,0.35,0.05,0.75,0,0.3,0.15,0.1,0.05,0.6,0.85,0.85,0.25
"39",3,2007,0.0909090909090909,NA,0.409090909090909,0.0454545454545455,0.909090909090909,0.272727272727273,0.318181818181818,0.409090909090909,0,0.5,0.318181818181818,0.772727272727273,0.954545454545455,0.363636363636364
"40",4,2007,0.19047619047619,NA,0.571428571428571,0.19047619047619,1,0.380952380952381,0.285714285714286,0.571428571428571,0.19047619047619,0.380952380952381,0.380952380952381,0.952380952380952,0.952380952380952,0.523809523809524
"41",5,2007,0.391304347826087,NA,0.826086956521739,0.217391304347826,0.782608695652174,0.521739130434783,0.478260869565217,0.260869565217391,0.304347826086957,0.521739130434783,0.347826086956522,0.782608695652174,0.956521739130435,0.608695652173913
"42",6,2007,0.0952380952380952,NA,0.80952380952381,0.19047619047619,0.80952380952381,0.142857142857143,0.333333333333333,0.19047619047619,0.0952380952380952,0.619047619047619,0.428571428571429,0.714285714285714,0.714285714285714,0.714285714285714
"43",7,2007,0.0454545454545455,NA,0.772727272727273,0.181818181818182,1,0.227272727272727,0.363636363636364,0.181818181818182,0.318181818181818,0.227272727272727,0.363636363636364,0.636363636363636,0.863636363636364,0.545454545454545
"44",8,2007,0,NA,0.565217391304348,0.173913043478261,0.782608695652174,0.173913043478261,0.217391304347826,0.304347826086957,0.304347826086957,0.347826086956522,0.173913043478261,0.956521739130435,0.869565217391304,0.565217391304348
"45",9,2007,0.05,NA,0.7,0.25,0.7,0.2,0.25,0.25,0.35,0.4,0.2,1,0.8,0.45
"46",10,2007,0.173913043478261,NA,0.782608695652174,0.0434782608695652,0.739130434782609,0.304347826086957,0.217391304347826,0.130434782608696,0.260869565217391,0.521739130434783,0.260869565217391,1,0.956521739130435,0.434782608695652
"47",11,2007,0.0909090909090909,NA,0.590909090909091,0.0454545454545455,0.681818181818182,0.227272727272727,0.136363636363636,0.227272727272727,0.136363636363636,0.409090909090909,0.181818181818182,1,0.909090909090909,0.272727272727273
"48",12,2007,0.285714285714286,NA,0.761904761904762,0.285714285714286,0.857142857142857,0.428571428571429,0.285714285714286,0.333333333333333,0.333333333333333,0.571428571428571,0.333333333333333,0.952380952380952,1,0.619047619047619
"49",1,2008,0.173913043478261,NA,0.652173913043478,0.130434782608696,0.91304347826087,0.217391304347826,0.0434782608695652,0.0869565217391304,0.217391304347826,0.434782608695652,0.434782608695652,1,0.956521739130435,0.478260869565217
"50",2,2008,0.0952380952380952,NA,0.857142857142857,0,0.952380952380952,0.238095238095238,0.19047619047619,0.285714285714286,0.238095238095238,0.523809523809524,0.333333333333333,1,0.952380952380952,0.523809523809524
"51",3,2008,0.380952380952381,NA,0.523809523809524,0.19047619047619,0.904761904761905,0.142857142857143,0.19047619047619,0.285714285714286,0.19047619047619,0.571428571428571,0.428571428571429,0.952380952380952,0.80952380952381,0.476190476190476
"52",4,2008,0.181818181818182,NA,0.636363636363636,0.136363636363636,0.818181818181818,0.181818181818182,0.0454545454545455,0.454545454545455,0.272727272727273,0.772727272727273,0.318181818181818,1,0.727272727272727,0.545454545454545
"53",5,2008,0.409090909090909,NA,0.5,0.272727272727273,0.909090909090909,0.409090909090909,0.363636363636364,0.5,0.590909090909091,0.636363636363636,0.363636363636364,0.818181818181818,0.863636363636364,0.545454545454545
"54",6,2008,0.380952380952381,NA,0.619047619047619,0.333333333333333,0.857142857142857,0.285714285714286,0.380952380952381,0.238095238095238,0.19047619047619,0.523809523809524,0.523809523809524,0.761904761904762,1,0.666666666666667
"55",7,2008,0.130434782608696,NA,0.826086956521739,0.260869565217391,0.739130434782609,0.304347826086957,0.217391304347826,0.304347826086957,0.173913043478261,0.652173913043478,0.565217391304348,0.869565217391304,0.91304347826087,0.434782608695652
"56",8,2008,0.19047619047619,NA,0.904761904761905,0.380952380952381,1,0.19047619047619,0.19047619047619,0.428571428571429,0.476190476190476,0.428571428571429,0.428571428571429,0.857142857142857,1,0.523809523809524
"57",9,2008,0.272727272727273,NA,0.545454545454545,0.181818181818182,0.954545454545455,0.409090909090909,0.181818181818182,0.136363636363636,0.181818181818182,0.5,0.5,0.863636363636364,0.954545454545455,0.454545454545455
"58",10,2008,0.130434782608696,NA,0.695652173913043,0.0869565217391304,0.782608695652174,0.130434782608696,0.130434782608696,0.0434782608695652,0.173913043478261,0.347826086956522,0.260869565217391,0.91304347826087,1,0.0434782608695652
"59",11,2008,0.2,NA,0.75,0.3,0.85,0.35,0.35,0.3,0.55,0.65,0.55,0.95,1,0.4
"60",12,2008,0.260869565217391,NA,0.652173913043478,0.260869565217391,0.956521739130435,0.347826086956522,0.478260869565217,0.217391304347826,0.391304347826087,0.565217391304348,0.260869565217391,1,1,0.521739130434783
"61",1,2009,0.454545454545455,NA,0.681818181818182,0.0909090909090909,0.863636363636364,0.5,0.272727272727273,0.272727272727273,0.409090909090909,0.727272727272727,0.409090909090909,0.909090909090909,1,0.545454545454545
"62",2,2009,0.35,NA,0.7,0.15,1,0.2,0.3,0.4,0.4,0.85,0.6,1,1,0.55
"63",3,2009,0.545454545454545,NA,0.772727272727273,0.136363636363636,0.863636363636364,0.636363636363636,0.272727272727273,0.590909090909091,0.409090909090909,0.636363636363636,0.681818181818182,1,0.954545454545455,0.636363636363636
"64",4,2009,0.363636363636364,NA,0.727272727272727,0.318181818181818,0.954545454545455,0.590909090909091,0.272727272727273,0.409090909090909,0.272727272727273,0.636363636363636,0.727272727272727,1,0.954545454545455,0.5
"65",5,2009,0.476190476190476,NA,0.857142857142857,0.285714285714286,0.857142857142857,0.571428571428571,0.333333333333333,0.428571428571429,0.238095238095238,0.476190476190476,0.238095238095238,1,0.952380952380952,0.380952380952381
"66",6,2009,0.409090909090909,NA,0.772727272727273,0.181818181818182,0.954545454545455,0.545454545454545,0.545454545454545,0.454545454545455,0.318181818181818,0.818181818181818,0.454545454545455,1,1,0.409090909090909
"67",7,2009,0.434782608695652,NA,0.739130434782609,0.217391304347826,0.91304347826087,0.565217391304348,0.434782608695652,0.391304347826087,0.260869565217391,0.695652173913043,0.434782608695652,1,0.91304347826087,0.565217391304348
"68",8,2009,0.285714285714286,NA,0.857142857142857,0.19047619047619,0.857142857142857,0.238095238095238,0.0476190476190476,0.19047619047619,0.142857142857143,0.571428571428571,0.428571428571429,0.904761904761905,0.80952380952381,0.428571428571429
"69",9,2009,0.0454545454545455,NA,0.681818181818182,0.0909090909090909,0.863636363636364,0.181818181818182,0.0454545454545455,0.181818181818182,0,0.5,0.272727272727273,1,0.863636363636364,0.363636363636364
"70",10,2009,0.0909090909090909,NA,0.636363636363636,0.227272727272727,0.772727272727273,0.272727272727273,0.272727272727273,0.0454545454545455,0.136363636363636,0.545454545454545,0.181818181818182,1,1,0.227272727272727
"71",11,2009,0.238095238095238,NA,0.80952380952381,0.142857142857143,0.761904761904762,0.571428571428571,0.333333333333333,0.428571428571429,0.285714285714286,0.714285714285714,0.428571428571429,1,0.857142857142857,0.428571428571429
"72",12,2009,0.304347826086957,NA,0.826086956521739,0.347826086956522,0.739130434782609,0.478260869565217,0.260869565217391,0.478260869565217,0.391304347826087,0.739130434782609,0.478260869565217,0.956521739130435,0.956521739130435,0.521739130434783
"73",1,2010,0.142857142857143,NA,0.857142857142857,0.142857142857143,0.714285714285714,0.571428571428571,0.380952380952381,0.476190476190476,0.19047619047619,0.904761904761905,0.619047619047619,0.952380952380952,1,0.428571428571429
"74",2,2010,0.2,NA,0.9,0.45,0.85,0.25,0.35,0.4,0.25,0.5,0.5,1,0.95,0.4
"75",3,2010,0.478260869565217,NA,0.782608695652174,0.217391304347826,0.956521739130435,0.391304347826087,0.304347826086957,0.391304347826087,0.217391304347826,0.521739130434783,0.695652173913043,0.956521739130435,1,0.739130434782609
"76",4,2010,0.227272727272727,NA,0.681818181818182,0.318181818181818,0.909090909090909,0.5,0.272727272727273,0.272727272727273,0.454545454545455,0.5,0.727272727272727,0.954545454545455,0.954545454545455,0.681818181818182
"77",5,2010,0.285714285714286,NA,0.714285714285714,0.142857142857143,0.904761904761905,0.428571428571429,0.571428571428571,0.380952380952381,0.285714285714286,0.714285714285714,0.476190476190476,1,0.952380952380952,0.619047619047619
"78",6,2010,0.5,NA,0.590909090909091,0.227272727272727,0.954545454545455,0.590909090909091,0.5,0.545454545454545,0.454545454545455,0.545454545454545,0.545454545454545,0.954545454545455,0.954545454545455,0.5
"79",7,2010,0.5,NA,0.863636363636364,0.363636363636364,0.909090909090909,0.590909090909091,0.363636363636364,0.227272727272727,0.0909090909090909,0.363636363636364,0.227272727272727,1,1,0.5
"80",8,2010,0.272727272727273,NA,0.318181818181818,0.454545454545455,1,0.363636363636364,0.0909090909090909,0.318181818181818,0.227272727272727,0.5,0.0909090909090909,1,0.909090909090909,0.5
"81",9,2010,0.227272727272727,NA,0.454545454545455,0.227272727272727,0.954545454545455,0.545454545454545,0.181818181818182,0.454545454545455,0.181818181818182,0.454545454545455,0.0909090909090909,0.863636363636364,0.954545454545455,0.5
"82",10,2010,0.380952380952381,NA,0.761904761904762,0.19047619047619,0.857142857142857,0.523809523809524,0.333333333333333,0.333333333333333,0.238095238095238,0.380952380952381,0.0476190476190476,0.952380952380952,0.904761904761905,0.238095238095238
