"","Group.1","Group.2","ENERGIJOS.SKIRSTYMO.OPERATORIUS","TELIA.LIETUVA","AGROWILL.GROUP","AMBER.GRID.AB","APRANGA","GRIGISKES","GUBERNIJA","INVALDA","INVL.BALTIC.FARM","INVL.TECHNOLOGY","K2.LT.AB","KAUNO.ENERGIJA","KLAIPEDOS.NAFTA","LIETUVOS.ENERGIJA","LINAS","LINAS.AGRO.GROUP","LITGRID","PANEVEZIO.STATYBOS.TTAS.","PIENO.ZVAIGZDES","ROKISKIO.SURIS","SIAULIU.BANKAS","SNAIGE","UTENOS.TRIKOTAZAS","VILKYSKIU.PIENINE","VILNIAUS.BALDU.KOMBINATA","VILNIAUS.DEGTINE","ZEMATIJOS.PIENAS"
"34",1,2006,NA,0.545454545454545,NA,NA,0.227272727272727,0.5,0.590909090909091,0.0454545454545455,NA,NA,NA,0.681818181818182,0.772727272727273,NA,0.636363636363636,NA,NA,0.227272727272727,0.545454545454545,0.636363636363636,0.636363636363636,0.5,0.636363636363636,NA,0.681818181818182,0.681818181818182,0.727272727272727
"35",2,2006,NA,0.4,NA,NA,0.15,0.4,0.8,0.15,NA,NA,NA,0.6,0.75,NA,0.65,NA,NA,0.5,0.4,0.5,0.5,0.4,0.55,NA,0.6,0.7,0.65
"36",3,2006,NA,0.478260869565217,NA,NA,0.217391304347826,0.478260869565217,0.91304347826087,0.260869565217391,NA,NA,NA,0.782608695652174,0.695652173913043,NA,0.608695652173913,NA,NA,0.173913043478261,0.434782608695652,0.565217391304348,0.869565217391304,0.521739130434783,0.478260869565217,NA,0.434782608695652,0.739130434782609,0.565217391304348
"37",4,2006,NA,0.4,NA,NA,0.4,0.45,0.75,0.35,NA,NA,NA,0.85,0.95,NA,0.7,NA,NA,0.35,0.55,0.65,0.6,0.5,0.75,NA,0.5,0.85,0.55
"38",5,2006,NA,0.391304347826087,NA,NA,0.478260869565217,0.434782608695652,0.956521739130435,0.173913043478261,NA,NA,NA,0.869565217391304,0.652173913043478,NA,0.478260869565217,NA,NA,0.304347826086957,0.521739130434783,0.521739130434783,0.652173913043478,0.478260869565217,0.478260869565217,0.7,0.565217391304348,0.739130434782609,0.782608695652174
"39",6,2006,NA,0.545454545454545,NA,NA,0.363636363636364,0.5,0.772727272727273,0.272727272727273,NA,NA,NA,0.909090909090909,0.5,NA,0.681818181818182,NA,NA,0.227272727272727,0.681818181818182,0.545454545454545,0.454545454545455,0.454545454545455,0.863636363636364,0.772727272727273,0.409090909090909,0.818181818181818,0.727272727272727
"40",7,2006,NA,0.571428571428571,NA,NA,0.142857142857143,0.380952380952381,0.761904761904762,0.238095238095238,NA,NA,NA,0.952380952380952,0.80952380952381,NA,0.523809523809524,NA,NA,0.142857142857143,0.952380952380952,0.571428571428571,0.857142857142857,0.333333333333333,0.666666666666667,0.904761904761905,0.619047619047619,0.761904761904762,0.761904761904762
"41",8,2006,NA,0.434782608695652,NA,NA,0.391304347826087,0.521739130434783,0.695652173913043,0.217391304347826,NA,NA,NA,0.739130434782609,0.652173913043478,NA,0.652173913043478,NA,NA,0.565217391304348,0.608695652173913,0.565217391304348,0.608695652173913,0.521739130434783,0.695652173913043,0.826086956521739,0.782608695652174,0.521739130434783,0.608695652173913
"42",9,2006,NA,0.380952380952381,NA,NA,0.142857142857143,0.523809523809524,0.857142857142857,0.142857142857143,NA,NA,NA,0.476190476190476,0.857142857142857,NA,0.857142857142857,NA,NA,0.142857142857143,0.523809523809524,0.476190476190476,0.714285714285714,0.285714285714286,0.571428571428571,0.666666666666667,0.619047619047619,0.761904761904762,0.666666666666667
"43",10,2006,NA,0.5,NA,NA,0.318181818181818,0.636363636363636,0.545454545454545,0.272727272727273,NA,NA,NA,0.818181818181818,0.681818181818182,NA,0.954545454545455,NA,NA,0.0454545454545455,0.772727272727273,0.363636363636364,0.772727272727273,0.363636363636364,0.545454545454545,0.818181818181818,0.681818181818182,0.545454545454545,0.727272727272727
"44",11,2006,NA,0.454545454545455,NA,NA,0.136363636363636,0.363636363636364,0.636363636363636,0.0909090909090909,NA,NA,NA,0.5,0.681818181818182,NA,0.909090909090909,NA,NA,0.272727272727273,0.454545454545455,0.590909090909091,0.590909090909091,0.227272727272727,0.545454545454545,0.727272727272727,0.818181818181818,0.5,0.636363636363636
