"","Group.1","Group.2","CEZ","KOMERCNI.BANKA","TELF.O2.CZECH.REPUBLIC","UNIPETROL","MONETA.MONEY.BANK","PHILIP.MORRIS.CR","BOREALIS.EXPLORATION","E4U","ENERGOAQUA","ENERGOCHEMICA","FORTUNA.ENTM.GROUP","JACHYMOV","KOFOLA.CESKOSLOVENSKO","PEGAS.NONWOVENS","PRAZSKE.SLUZBY","RM.S.HOLDING","SAFETY.REAL.INVESTICNI.FOND","TOMA","CENTRAL.EUR.MEDIA..PRA.","ERSTE.GROUP.BANK..PRA.","NEW.WORLD.RES...PRA.","PHOTON.ENERGY..PRA.","STOCK.SPIRITS.GROUP.PRA.","TATRY.MOUNTAIN..PRA..RESORTS.6","VGP..WI...PRA.","VIENNA.IN.GROUP..PRA."
"61",1,2009,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.0454545454545455,NA,0.0454545454545455,NA,NA,1,NA,NA,1,NA,0.0454545454545455,0.954545454545455,1,NA,1,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,1,0.0454545454545455
"62",2,2009,0,0,0.05,0,NA,0,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.85,0,0,NA,NA,NA,NA,1,0
"63",3,2009,0,0.0454545454545455,0,0,NA,0,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.954545454545455,0,0.0454545454545455,NA,NA,NA,NA,1,0
"64",4,2009,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,0.0454545454545455,NA,NA,1,NA,NA,1,NA,0.0454545454545455,1,1,NA,1,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,1,0.0454545454545455
"65",5,2009,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,NA,0.142857142857143,NA,NA,0.952380952380952,NA,NA,0.952380952380952,NA,0.142857142857143,1,1,NA,1,0.0952380952380952,0.0952380952380952,NA,NA,NA,NA,0.952380952380952,0.0952380952380952
"66",6,2009,0,0,0.0454545454545455,0.0909090909090909,NA,0.0909090909090909,NA,NA,1,NA,NA,1,NA,0.0454545454545455,1,1,NA,1,0,0,NA,NA,NA,NA,1,0
"67",7,2009,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.173913043478261,NA,0.0434782608695652,NA,NA,0.956521739130435,NA,NA,1,NA,0.0434782608695652,1,1,NA,1,0.0434782608695652,0.0434782608695652,NA,NA,NA,NA,1,0.0434782608695652
"68",8,2009,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,0.0476190476190476,NA,NA,0.904761904761905,NA,NA,1,NA,0,1,0.904761904761905,NA,1,0,0,NA,NA,NA,NA,0.952380952380952,0
"69",9,2009,0.0454545454545455,0.0909090909090909,0.136363636363636,0.0909090909090909,NA,0.0454545454545455,NA,NA,1,NA,NA,0.954545454545455,NA,0.0454545454545455,1,1,NA,1,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,1,0.0454545454545455
"70",10,2009,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,NA,0.136363636363636,NA,NA,0.954545454545455,NA,NA,1,NA,0.136363636363636,1,1,NA,1,0.0454545454545455,0.0909090909090909,NA,NA,NA,NA,1,0.0454545454545455
"71",11,2009,0.142857142857143,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,0.0952380952380952,NA,NA,1,NA,NA,1,NA,0.0952380952380952,1,0.952380952380952,NA,1,0.0476190476190476,0.0476190476190476,NA,NA,NA,NA,1,0.0476190476190476
"72",12,2009,0.130434782608696,0.130434782608696,0.173913043478261,0.130434782608696,NA,0.130434782608696,NA,NA,0.91304347826087,NA,NA,1,NA,0.260869565217391,1,1,NA,0.91304347826087,0.173913043478261,0.130434782608696,NA,NA,NA,NA,1,0.130434782608696
"73",1,2010,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.142857142857143,NA,0.0952380952380952,NA,NA,0.952380952380952,NA,NA,1,NA,0.0952380952380952,1,1,NA,0.80952380952381,0.0476190476190476,0.0476190476190476,NA,NA,NA,NA,1,0.0952380952380952
"74",2,2010,0,0,0,0.05,NA,0,NA,NA,1,NA,NA,1,NA,0.1,1,1,NA,0.95,0,0,NA,NA,NA,NA,1,0
"75",3,2010,0,0.0434782608695652,0.173913043478261,0,NA,0.0434782608695652,NA,NA,1,NA,NA,1,NA,0,1,1,NA,0.956521739130435,0,0,NA,NA,NA,NA,1,0
"76",4,2010,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.0909090909090909,NA,0.136363636363636,NA,NA,0.954545454545455,NA,NA,1,NA,0.0454545454545455,1,1,NA,0.954545454545455,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,1,0.0454545454545455
"77",5,2010,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.0476190476190476,NA,0,NA,NA,1,NA,NA,1,NA,0.0476190476190476,1,1,NA,0.857142857142857,0,0,NA,NA,NA,NA,1,0
"78",6,2010,0.0909090909090909,0.0909090909090909,0,0,NA,0,NA,NA,1,NA,NA,1,NA,0,1,0.954545454545455,NA,0.954545454545455,0,0,NA,NA,NA,NA,1,0
"79",7,2010,0.0909090909090909,0.227272727272727,0.0909090909090909,0.181818181818182,NA,0.181818181818182,NA,NA,1,NA,NA,1,NA,0.0909090909090909,1,0.954545454545455,NA,0.909090909090909,0.0909090909090909,0.0909090909090909,NA,NA,NA,NA,1,0.0909090909090909
"80",8,2010,0,0,0,0,NA,0,NA,NA,1,NA,NA,1,NA,0,1,0.545454545454545,NA,0.954545454545455,0,0,NA,NA,NA,NA,1,0.0454545454545455
"81",9,2010,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.0909090909090909,NA,0.0909090909090909,NA,NA,1,NA,NA,1,NA,0.0909090909090909,1,1,NA,0.863636363636364,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,1,0.0909090909090909
"82",10,2010,0.0476190476190476,0.0476190476190476,0.142857142857143,0.0476190476190476,NA,0.0476190476190476,NA,NA,1,NA,0.2,0.80952380952381,NA,0.0476190476190476,1,0.80952380952381,NA,0.952380952380952,0.0476190476190476,0.0952380952380952,NA,NA,NA,NA,1,0.0476190476190476
"83",11,2010,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,NA,0.0454545454545455,NA,NA,0.909090909090909,NA,0.0454545454545455,0.909090909090909,NA,0.0454545454545455,1,0.863636363636364,NA,0.863636363636364,0.0909090909090909,0.0909090909090909,NA,NA,NA,NA,1,0.0454545454545455
"84",12,2010,0.0869565217391304,0.0869565217391304,0.130434782608696,0.130434782608696,NA,0.173913043478261,NA,NA,0.956521739130435,NA,0.0869565217391304,1,NA,0.217391304347826,1,0.869565217391304,NA,0.869565217391304,0.0869565217391304,0.0869565217391304,NA,NA,NA,NA,1,0.130434782608696
"85",1,2011,0,0,0.0952380952380952,0,NA,0.0952380952380952,NA,NA,0.952380952380952,NA,0,1,NA,0.0952380952380952,1,0.80952380952381,NA,0.904761904761905,0,0,NA,NA,NA,NA,1,0.0476190476190476
"86",2,2011,0.05,0,0.1,0.05,NA,0.05,NA,NA,0.95,NA,0,1,NA,0.15,1,0.85,NA,0.95,0,0,NA,NA,NA,NA,1,0.05
"87",3,2011,0,0.0434782608695652,0.0434782608695652,0.217391304347826,NA,0,NA,NA,1,NA,0.0434782608695652,0.869565217391304,NA,0.0434782608695652,1,0.869565217391304,NA,0.91304347826087,0.0434782608695652,0,NA,NA,NA,NA,1,0
"88",4,2011,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.142857142857143,NA,0.0476190476190476,NA,NA,0.952380952380952,NA,0.0476190476190476,1,NA,0.0476190476190476,0.857142857142857,0.857142857142857,NA,0.904761904761905,0.0476190476190476,0.0476190476190476,NA,NA,NA,NA,1,0.0952380952380952
"89",5,2011,0,0,0.0909090909090909,0,NA,0.0454545454545455,NA,NA,1,NA,0.0454545454545455,0.727272727272727,NA,0.136363636363636,1,0.863636363636364,NA,0.909090909090909,0,0,0.0588235294117647,NA,NA,NA,1,0
"90",6,2011,0,0.0454545454545455,0,0,NA,0.0909090909090909,NA,NA,0.954545454545455,NA,0,0.909090909090909,NA,0,0.954545454545455,0.954545454545455,NA,1,0,0,0,NA,NA,NA,1,0
"91",7,2011,0.0952380952380952,0.0952380952380952,0.142857142857143,0.0952380952380952,NA,0.0952380952380952,NA,NA,0.952380952380952,NA,0.19047619047619,0.952380952380952,NA,0.19047619047619,0.857142857142857,0.952380952380952,NA,1,0.0952380952380952,0.142857142857143,0.142857142857143,NA,NA,NA,1,0.0952380952380952
"92",8,2011,0,0,0,0.0869565217391304,NA,0.0434782608695652,NA,0,1,NA,0.0434782608695652,1,NA,0.0434782608695652,1,1,NA,0.869565217391304,0,0,0.0434782608695652,NA,NA,NA,1,0
"93",9,2011,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0909090909090909,NA,0.0454545454545455,NA,0.0909090909090909,0.909090909090909,NA,0.0454545454545455,0.909090909090909,NA,0.0454545454545455,0.818181818181818,0.954545454545455,NA,0.909090909090909,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,NA,NA,1,0.0454545454545455
"94",10,2011,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.0952380952380952,NA,0.0952380952380952,NA,0.476190476190476,0.952380952380952,NA,0.0476190476190476,0.952380952380952,NA,0.0952380952380952,0.952380952380952,0.952380952380952,NA,0.952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,NA,NA,1,0.0476190476190476
