"","Group.1","Group.2","TALLINK.GROUP","ARCO.VARA","BALTIKA","EKSPRESS.GRUPP","HARJU.ELEKTER","LHV.GROUP","LINDA","MERKO.EHITUS","NORDECON","OLYMPIC.ENTM.GROUP"
"25",1,2006,0.454545454545455,NA,0.318181818181818,NA,0.136363636363636,NA,NA,NA,NA,NA
"26",2,2006,0.5,NA,0.2,NA,0.3,NA,NA,NA,NA,NA
"27",3,2006,0.565217391304348,NA,0.130434782608696,NA,0.217391304347826,NA,NA,NA,NA,NA
"28",4,2006,0.7,NA,0.45,NA,0.2,NA,NA,NA,NA,NA
"29",5,2006,0.434782608695652,NA,0.391304347826087,NA,0.347826086956522,NA,NA,NA,0.222222222222222,NA
"30",6,2006,0.409090909090909,NA,0.227272727272727,NA,0.318181818181818,NA,NA,NA,0.318181818181818,NA
"31",7,2006,0.19047619047619,NA,0.142857142857143,NA,0.333333333333333,NA,NA,NA,0.333333333333333,NA
"32",8,2006,0.608695652173913,NA,0.347826086956522,NA,0.130434782608696,NA,NA,NA,0.434782608695652,NA
"33",9,2006,0.476190476190476,NA,0.238095238095238,NA,0.285714285714286,NA,NA,NA,0.380952380952381,NA
"34",10,2006,0.590909090909091,NA,0.0909090909090909,NA,0.181818181818182,NA,NA,NA,0.136363636363636,0.375
"35",11,2006,0.5,NA,0.0909090909090909,NA,0.136363636363636,NA,NA,NA,0,0.136363636363636
"36",12,2006,0.333333333333333,NA,0.238095238095238,NA,0.285714285714286,NA,NA,NA,0.142857142857143,0.380952380952381
"37",1,2007,0.130434782608696,NA,0.0434782608695652,NA,0.0869565217391304,NA,NA,NA,0.130434782608696,0.217391304347826
"38",2,2007,0.05,NA,0.1,NA,0.2,NA,NA,NA,0.1,0.05
"39",3,2007,0.136363636363636,NA,0.136363636363636,NA,0.181818181818182,NA,NA,NA,0.0454545454545455,0.0909090909090909
"40",4,2007,0.333333333333333,NA,0.142857142857143,0.117647058823529,0.142857142857143,NA,NA,NA,0.142857142857143,0.19047619047619
"41",5,2007,0.652173913043478,NA,0.173913043478261,0.260869565217391,0.173913043478261,NA,NA,NA,0.130434782608696,0.130434782608696
"42",6,2007,0.380952380952381,0.5,0.0952380952380952,0.19047619047619,0.19047619047619,NA,NA,NA,0.142857142857143,0.0952380952380952
"43",7,2007,0.409090909090909,0.0454545454545455,0.136363636363636,0.272727272727273,0.227272727272727,NA,NA,NA,0.227272727272727,0.0909090909090909
"44",8,2007,0.782608695652174,0.173913043478261,0.0869565217391304,0.130434782608696,0.347826086956522,NA,NA,NA,0.217391304347826,0.173913043478261
"45",9,2007,0.2,0.25,0.3,0.1,0.15,NA,NA,NA,0.05,0.1
"46",10,2007,0.347826086956522,0.0434782608695652,0.130434782608696,0.0434782608695652,0.521739130434783,NA,NA,NA,0.130434782608696,0.0434782608695652
"47",11,2007,0.409090909090909,0.136363636363636,0.0909090909090909,0.227272727272727,0.0909090909090909,NA,NA,NA,0.0454545454545455,0.0909090909090909
"48",12,2007,0.380952380952381,0.333333333333333,0.428571428571429,0.428571428571429,0.428571428571429,NA,NA,NA,0.571428571428571,0.19047619047619
"49",1,2008,0.478260869565217,0.173913043478261,0.0869565217391304,0.260869565217391,0.260869565217391,NA,NA,NA,0.130434782608696,0.260869565217391
"50",2,2008,0.285714285714286,0.19047619047619,0.0952380952380952,0.19047619047619,0.285714285714286,NA,NA,NA,0.142857142857143,0.19047619047619
"51",3,2008,0.476190476190476,0.380952380952381,0.285714285714286,0.238095238095238,0.380952380952381,NA,NA,NA,0.523809523809524,0.142857142857143
"52",4,2008,0.454545454545455,0.363636363636364,0.272727272727273,0.318181818181818,0.454545454545455,NA,NA,NA,0.363636363636364,0.181818181818182
"53",5,2008,0.363636363636364,0.318181818181818,0.227272727272727,0.181818181818182,0.409090909090909,NA,NA,NA,0.590909090909091,0.227272727272727
"54",6,2008,0.523809523809524,0.428571428571429,0.333333333333333,0.428571428571429,0.571428571428571,NA,NA,NA,0.428571428571429,0.285714285714286
"55",7,2008,0.260869565217391,0.173913043478261,0,0.217391304347826,0.478260869565217,NA,NA,NA,0.0869565217391304,0.0869565217391304
"56",8,2008,0.428571428571429,0.285714285714286,0.0952380952380952,0.238095238095238,0.523809523809524,NA,NA,0.142857142857143,0.238095238095238,0.142857142857143
"57",9,2008,0.227272727272727,0.272727272727273,0.0454545454545455,0.0454545454545455,0.272727272727273,NA,NA,0.227272727272727,0.0909090909090909,0.0454545454545455
"58",10,2008,0.260869565217391,0.260869565217391,0,0.0869565217391304,0.173913043478261,NA,NA,0.0869565217391304,0.0434782608695652,0.0869565217391304
"59",11,2008,0.2,0.25,0.1,0.15,0.4,NA,NA,0.1,0.1,0.2
"60",12,2008,0.478260869565217,0.565217391304348,0.304347826086957,0.304347826086957,0.391304347826087,NA,NA,0.434782608695652,0.260869565217391,0.391304347826087
"61",1,2009,0.409090909090909,0.5,0.0909090909090909,0.181818181818182,0.454545454545455,NA,NA,0.227272727272727,0.181818181818182,0.227272727272727
"62",2,2009,0.4,0.35,0.3,0.35,0.3,NA,NA,0.45,0.2,0.2
"63",3,2009,0.318181818181818,0.318181818181818,0.136363636363636,0.0909090909090909,0.136363636363636,NA,NA,0.181818181818182,0.227272727272727,0.181818181818182
"64",4,2009,0.318181818181818,0.681818181818182,0.136363636363636,0.409090909090909,0.409090909090909,NA,NA,0.181818181818182,0.318181818181818,0.227272727272727
"65",5,2009,0.619047619047619,0.571428571428571,0.19047619047619,0.428571428571429,0.285714285714286,NA,NA,0.285714285714286,0.0952380952380952,0.285714285714286
"66",6,2009,0.409090909090909,0.636363636363636,0.363636363636364,0.227272727272727,0.272727272727273,NA,NA,0.181818181818182,0.318181818181818,0.272727272727273
"67",7,2009,0.391304347826087,0.521739130434783,0.217391304347826,0.391304347826087,0.217391304347826,NA,NA,0.173913043478261,0.217391304347826,0.391304347826087
"68",8,2009,0.380952380952381,0.380952380952381,0.285714285714286,0.142857142857143,0.285714285714286,NA,NA,0.142857142857143,0.19047619047619,0.285714285714286
"69",9,2009,0.5,0.272727272727273,0.0454545454545455,0.181818181818182,0.0454545454545455,NA,NA,0.0909090909090909,0.136363636363636,0.181818181818182
"70",10,2009,0.363636363636364,0.136363636363636,0.136363636363636,0.0909090909090909,0,NA,NA,0.0454545454545455,0.136363636363636,0.136363636363636
"71",11,2009,0.238095238095238,0.428571428571429,0.19047619047619,0.142857142857143,0.19047619047619,NA,NA,0.0952380952380952,0.0952380952380952,0.238095238095238
"72",12,2009,0.434782608695652,0.478260869565217,0.217391304347826,0.478260869565217,0.217391304347826,NA,NA,0.217391304347826,0.217391304347826,0.434782608695652
"73",1,2010,0.333333333333333,0.380952380952381,0.238095238095238,0.238095238095238,0.19047619047619,NA,NA,0.0476190476190476,0.0476190476190476,0.142857142857143
"74",2,2010,0.45,0.5,0.35,0.15,0.15,NA,NA,0.25,0.1,0.35
"75",3,2010,0.304347826086957,0,0.260869565217391,0.347826086956522,0,NA,NA,0.260869565217391,0.304347826086957,0.217391304347826
"76",4,2010,0.409090909090909,0.181818181818182,0.454545454545455,0.318181818181818,0.363636363636364,NA,NA,0.136363636363636,0.136363636363636,0.272727272727273
"77",5,2010,0.238095238095238,0.142857142857143,0.380952380952381,0.142857142857143,0.19047619047619,NA,NA,0.142857142857143,0.19047619047619,0.238095238095238
"78",6,2010,0.409090909090909,0.227272727272727,0.409090909090909,0.227272727272727,0.363636363636364,NA,NA,0.272727272727273,0.181818181818182,0.227272727272727
"79",7,2010,0.272727272727273,0.227272727272727,0.318181818181818,0.136363636363636,0.409090909090909,NA,NA,0.318181818181818,0.272727272727273,0.136363636363636
"80",8,2010,0.5,0.136363636363636,0.181818181818182,0.0909090909090909,0.227272727272727,NA,NA,0.181818181818182,0.0909090909090909,0.181818181818182
