"","Group.1","Group.2","ERSTE.GROUP.BANK..PRA.","VIENNA.IN.GROUP..PRA.","CENTRAL.EUR.MEDIA..PRA.","PHILIP.MORRIS.CR","CEZ","KOMERCNI.BANKA","MONETA.MONEY.BANK","KOFOLA.CESKOSLOVENSKO","UNIPETROL","TELF.O2.CZECH.REPUBLIC","STOCK.SPIRITS.GROUP.PRA.","PEGAS.NONWOVENS","FORTUNA.ENTM.GROUP"
"22",10,2005,0.0476190476190476,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,1,0.0476190476190476,0.0476190476190476,1,1,1
"23",11,2005,0.0909090909090909,1,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.0454545454545455,1,1,0.0454545454545455,0.0454545454545455,1,1,1
"24",12,2005,0.0909090909090909,1,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.136363636363636,1,1,0.0454545454545455,0.0454545454545455,1,1,1
"25",1,2006,0.0454545454545455,1,0.0454545454545455,0,0,0,1,1,0,0,1,1,1
"26",2,2006,0.05,1,0,0.05,0,0,1,1,0,0,1,1,1
"27",3,2006,0,1,0,0,0,0,1,1,0,0,1,1,1
"28",4,2006,0.1,1,0.1,0.05,0.05,0.05,1,1,0.1,0.05,1,1,1
"29",5,2006,0.0869565217391304,1,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.130434782608696,1,1,0.130434782608696,0.130434782608696,1,1,1
"30",6,2006,0,1,0,0,0,0,1,1,0,0,1,1,1
"31",7,2006,0.0952380952380952,1,0.0952380952380952,0.142857142857143,0.0952380952380952,0.0952380952380952,1,1,0.0952380952380952,0.0952380952380952,1,1,1
"32",8,2006,0.0434782608695652,1,0,0,0,0,1,1,0,0,1,1,1
"33",9,2006,0.0952380952380952,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,1,0.0476190476190476,0.0476190476190476,1,1,1
"34",10,2006,0,1,0,0,0,0,1,1,0,0,1,1,1
"35",11,2006,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,1,0.0454545454545455,0.0454545454545455,1,1,1
"36",12,2006,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,1,0.0952380952380952,0.142857142857143,1,0.666666666666667,1
"37",1,2007,0.0869565217391304,1,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,1,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,1
"38",2,2007,0.05,1,0,0,0,0.05,1,1,0,0,1,0.05,1
"39",3,2007,0,1,0,0.0454545454545455,0,0,1,1,0.0454545454545455,0,1,0.0454545454545455,1
"40",4,2007,0.0952380952380952,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,1,0.0476190476190476,0.0476190476190476,1,0.0952380952380952,1
"41",5,2007,0.173913043478261,1,0.0869565217391304,0.0869565217391304,0.130434782608696,0.0869565217391304,1,1,0.0869565217391304,0.0869565217391304,1,0.0869565217391304,1
"42",6,2007,0,1,0.0476190476190476,0,0,0,1,1,0,0.0952380952380952,1,0,1
"43",7,2007,0.181818181818182,1,0.136363636363636,0.136363636363636,0.136363636363636,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,1
"44",8,2007,0,1,0,0.0434782608695652,0.0434782608695652,0,1,1,0,0,1,0,1
"45",9,2007,0.05,1,0.05,0.05,0.05,0.05,1,1,0.05,0.05,1,0.05,1
"46",10,2007,0,1,0,0,0,0,1,1,0,0,1,0,1
"47",11,2007,0,1,0,0,0,0,1,1,0.0454545454545455,0,1,0,1
"48",12,2007,0.238095238095238,1,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,1,1,0.19047619047619,0.19047619047619,1,0.19047619047619,1
"49",1,2008,0.0434782608695652,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,1,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,1
"50",2,2008,0,0.142857142857143,0,0,0,0,1,1,0,0,1,0,1
"51",3,2008,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0476190476190476,1,1,0.0476190476190476,0.0952380952380952,1,0.0476190476190476,1
"52",4,2008,0,0.0454545454545455,0,0.0454545454545455,0,0,1,1,0.0454545454545455,0.0454545454545455,1,0,1
"53",5,2008,0.136363636363636,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,1,0.136363636363636,1
"54",6,2008,0,0,0,0,0,0,1,1,0.0952380952380952,0,1,0.0476190476190476,1
"55",7,2008,0,0,0,0.0434782608695652,0,0,1,1,0,0,1,0,1
"56",8,2008,0,0,0,0,0,0,1,1,0.0476190476190476,0,1,0,1
"57",9,2008,0,0,0,0.0454545454545455,0,0.0454545454545455,1,1,0,0,1,0,1
"58",10,2008,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,1,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,1
"59",11,2008,0.05,0.05,0.05,0.1,0.05,0.05,1,1,0.05,0.05,1,0.05,1
"60",12,2008,0.173913043478261,0.173913043478261,0.173913043478261,0.173913043478261,0.173913043478261,0.173913043478261,1,1,0.173913043478261,0.173913043478261,1,0.173913043478261,1
"61",1,2009,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,1,1,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,1
"62",2,2009,0,0,0,0,0,0,1,1,0,0.05,1,0,1
"63",3,2009,0.0454545454545455,0,0,0,0,0.0454545454545455,1,1,0,0,1,0,1
"64",4,2009,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,1,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,1
"65",5,2009,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.142857142857143,0.0952380952380952,0.0952380952380952,1,1,0.0952380952380952,0.0952380952380952,1,0.142857142857143,1
"66",6,2009,0,0,0,0.0909090909090909,0,0,1,1,0.0909090909090909,0.0454545454545455,1,0.0454545454545455,1
"67",7,2009,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,1,0.173913043478261,0.0869565217391304,1,0.0434782608695652,1
"68",8,2009,0,0,0,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,1,0.0476190476190476,0.0476190476190476,1,0,1
"69",9,2009,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,1,0.0909090909090909,0.136363636363636,1,0.0454545454545455,1
"70",10,2009,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.136363636363636,0.0454545454545455,0.0454545454545455,1,1,0.0454545454545455,0.0909090909090909,1,0.136363636363636,1
"71",11,2009,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.142857142857143,0.0476190476190476,1,1,0.0476190476190476,0.0476190476190476,1,0.0952380952380952,1
"72",12,2009,0.130434782608696,0.130434782608696,0.173913043478261,0.130434782608696,0.130434782608696,0.130434782608696,1,1,0.130434782608696,0.173913043478261,1,0.260869565217391,1
"73",1,2010,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0952380952380952,1,1,0.142857142857143,0.0476190476190476,1,0.0952380952380952,1
"74",2,2010,0,0,0,0,0,0,1,1,0.05,0,1,0.1,1
"75",3,2010,0,0,0,0.0434782608695652,0,0.0434782608695652,1,1,0,0.173913043478261,1,0,1
"76",4,2010,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.136363636363636,0.0454545454545455,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,1,0.0454545454545455,1
"77",5,2010,0,0,0,0,0.0476190476190476,0.0476190476190476,1,1,0.0476190476190476,0.0952380952380952,1,0.0476190476190476,1
"78",6,2010,0,0,0,0,0.0909090909090909,0.0909090909090909,1,1,0,0,1,0,1
"79",7,2010,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.227272727272727,1,1,0.181818181818182,0.0909090909090909,1,0.0909090909090909,1
"80",8,2010,0,0.0454545454545455,0,0,0,0,1,1,0,0,1,0,1
"81",9,2010,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.0454545454545455,1,1,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,1
"82",10,2010,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,1,0.0476190476190476,0.142857142857143,1,0.0476190476190476,0.80952380952381
"83",11,2010,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.0909090909090909,1,1,0.0909090909090909,0.0909090909090909,1,0.0454545454545455,0.0454545454545455
"84",12,2010,0.0869565217391304,0.130434782608696,0.0869565217391304,0.173913043478261,0.0869565217391304,0.0869565217391304,1,1,0.130434782608696,0.130434782608696,1,0.217391304347826,0.0869565217391304
"85",1,2011,0,0.0476190476190476,0,0.0952380952380952,0,0,1,1,0,0.0952380952380952,1,0.0952380952380952,0
"86",2,2011,0,0.05,0,0.05,0.05,0,1,1,0.05,0.1,1,0.15,0
"87",3,2011,0,0,0.0434782608695652,0,0,0.0434782608695652,1,1,0.217391304347826,0.0434782608695652,1,0.0434782608695652,0.0434782608695652
"88",4,2011,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,1,0.142857142857143,0.0476190476190476,1,0.0476190476190476,0.0476190476190476
"89",5,2011,0,0,0,0.0454545454545455,0,0,1,1,0,0.0909090909090909,1,0.136363636363636,0.0454545454545455
"90",6,2011,0,0,0,0.0909090909090909,0,0.0454545454545455,1,1,0,0,1,0,0
"91",7,2011,0.142857142857143,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,1,0.0952380952380952,0.142857142857143,1,0.19047619047619,0.19047619047619
"92",8,2011,0,0,0,0.0434782608695652,0,0,1,1,0.0869565217391304,0,1,0.0434782608695652,0.0434782608695652
"93",9,2011,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,1,1,0.0909090909090909,0.0454545454545455,1,0.0454545454545455,0.0454545454545455
"94",10,2011,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,1,0.0952380952380952,0.0476190476190476,1,0.0952380952380952,0.0476190476190476
"95",11,2011,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.136363636363636,0.0454545454545455,0.0454545454545455,1,1,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,0.0909090909090909
"96",12,2011,0.0454545454545455,0.136363636363636,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.0454545454545455,1,1,0.272727272727273,0.0454545454545455,1,0.136363636363636,0.181818181818182
"97",1,2012,0,0.0454545454545455,0,0.0909090909090909,0,0.0454545454545455,1,1,0.409090909090909,0.0454545454545455,1,0.0454545454545455,0.0909090909090909
"98",2,2012,0,0,0.0476190476190476,0.142857142857143,0.0476190476190476,0,1,1,0.238095238095238,0.0952380952380952,1,0.0476190476190476,0
"99",3,2012,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0,1,1,0.181818181818182,0.0454545454545455,1,0.0454545454545455,0.0909090909090909
"100",4,2012,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.19047619047619,1,1,0.142857142857143,0.142857142857143,1,0.142857142857143,0.0476190476190476
"101",5,2012,0.0869565217391304,0.0869565217391304,0.130434782608696,0.0869565217391304,0.0869565217391304,0.130434782608696,1,1,0.391304347826087,0.173913043478261,1,0.0869565217391304,0.0869565217391304
"102",6,2012,0,0,0,0.0952380952380952,0.0476190476190476,0.0476190476190476,1,1,0.19047619047619,0,1,0.0476190476190476,0.0476190476190476
"103",7,2012,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.136363636363636,0.136363636363636,0.0909090909090909,1,1,0.136363636363636,0.0909090909090909,1,0.136363636363636,0.0909090909090909
"104",8,2012,0,0,0,0.0434782608695652,0,0.0434782608695652,1,1,0.0869565217391304,0.0434782608695652,1,0.0434782608695652,0.0869565217391304
"105",9,2012,0.05,0.05,0.05,0.15,0.1,0.05,1,1,0.15,0.2,1,0.15,0.05
"106",10,2012,0.0434782608695652,0.0434782608695652,0.173913043478261,0.0434782608695652,0.0869565217391304,0.0434782608695652,1,1,0,0.0869565217391304,1,0.0869565217391304,0.0434782608695652
"107",11,2012,0.0454545454545455,0,0,0,0,0,1,1,0.272727272727273,0.0909090909090909,1,0.0454545454545455,0.0454545454545455
"108",12,2012,0.19047619047619,0.238095238095238,0.19047619047619,0.285714285714286,0.333333333333333,0.19047619047619,1,1,0.333333333333333,0.19047619047619,1,0.285714285714286,0.285714285714286
"109",1,2013,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0434782608695652,1,1,0.130434782608696,0.0869565217391304,1,0.130434782608696,0.0869565217391304
"110",2,2013,0,0,0.05,0.05,0,0.05,1,1,0.15,0.05,1,0.1,0.1
"111",3,2013,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.142857142857143,0.0952380952380952,0.0952380952380952,1,1,0.238095238095238,0.0476190476190476,1,0.142857142857143,0.0476190476190476
"112",4,2013,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,1,1,0.454545454545455,0.0454545454545455,1,0.227272727272727,0.0909090909090909
"113",5,2013,0.0869565217391304,0.130434782608696,0.0869565217391304,0.130434782608696,0.130434782608696,0.0869565217391304,1,1,0.347826086956522,0.0869565217391304,1,0.130434782608696,0.130434782608696
"114",6,2013,0,0.05,0.15,0,0,0.05,1,1,0.15,0.1,1,0.15,0
"115",7,2013,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0869565217391304,1,1,0.434782608695652,0.0869565217391304,1,0.0434782608695652,0.0869565217391304
"116",8,2013,0,0.136363636363636,0.0454545454545455,0.0909090909090909,0.0454545454545455,0,1,1,0.227272727272727,0.0454545454545455,1,0.0454545454545455,0.136363636363636
