Month;Year;AMBEV ON;GERDAU PN;ECOD.INFU.E LOG.ON;METALURGICA GERDAU PN;LOJAS RENNER ON;ITAU UNIBANCO HOLDING PN;CPFL ENERGIA ON;LOJAS AMERICANAS PN REP1 PN;CYRELA BRAZIL REALTY ON;SMILES ON;CIA ENERGETICA DE MINAS GERAIS PN;BANCO SANTANDER BRASIL UNITS;BRF BRASIL FOODS ON;USINAS SIDERURGICAS DE MINAS GERAIS A PN;ENGIE BRASIL ENERGIA ON;WEG ON;QUALICORP ON;EMBRAER ON;CMPH.COCS. RODOVIARIAS ON;ENERGIAS DO BRASIL ON BRAZIL;RUMO ON;RAIA DROGASIL ON;HYPERMARCAS ON;ITAUSA INVESTIMENTOS ITAU PN;MRV ENGENHARIA E PARTICIPACOES ON;BANCO DO BRASIL ON;VALE ON;KLABIN UNITS;MARFRIG FRIGORIFICOS ON;BMF BOVESPA BLVAL. MEREFU.ON;BB SEGURIDADE ON;PETROLEO BRASILEIRO PN;ESTACIO PARTICIPACOES ON;EQUATORIAL ENERGIA ON;CIA PARANAENSE DE ENERGIA COPEL PN;BRASKEM PN SERIES 'A';BANCO BRADESCO PN;MULTIPLAN EMPE. IMOBS.ON;SUZANO BAHIA SUL PAPEL CELULOSE A PN;NATURA COSMETICOS ON;VALE PN;BANCO BRADESCO ON;CIELO ON;KROTON EDUCACIONAL ON;FIBRIA CELULOSE ON;CPAD.SANMT.BASICO DE SAOP.ON;LOCALIZA RENT A CAR ON;TELEFONICA BRASIL PN;BRADESPAR PN;BR MALLS PARTICIPACOES ON;COMPANHIA SIDERURGICA NACIONAL ON;ULTRAPAR PARTICIPOES ON;COSAN INDUSTRIA E COMERCIO ON;CMPBRA.DE DISTB. PN;JBS ON;CENTRAIS ELETR BRAS- ELETROBRAS ON;TIM PARTICIPACOES ON;PETROLEO BRASILEIRO ON
1;2004;-0.01369863;-0.070833333;NA;-0.065019506;0;-0.057931034;NA;-0.06993007;NA;NA;-0.070921986;NA;0;-0.059219381;-0.094890511;0;NA;-0.020342612;-0.019354839;NA;NA;0;NA;-0.038461538;NA;-0.087126138;-0.045258621;NA;NA;NA;NA;-0.057674419;NA;NA;-0.083665339;-0.053495763;-0.02771855;NA;0;NA;-0.044081633;-0.046683047;NA;NA;NA;-0.083076923;NA;-0.065420561;-0.055;NA;-0.064156206;-0.014263074;NA;-0.060773481;NA;-0.072850898;-0.075709779;-0.05451448
1;2004;0;0.01793722;NA;-0.027816412;0;0.014641288;NA;-0.022556391;NA;NA;-0.021374046;NA;0;-0.038626609;0.008870968;0;NA;-0.021857923;-0.013157895;NA;NA;0;NA;-0.013333333;NA;-0.032763533;-0.021820918;NA;NA;NA;NA;-0.033563672;NA;NA;-0.004347826;-0.06155568;-0.028508772;NA;0;NA;-0.012809564;-0.025773196;NA;NA;NA;-0.055369128;NA;-0.0002;-0.015873016;NA;0.01490313;0;NA;-0.010588235;NA;-0.081194343;0.013651877;-0.042342342
2;2004;-0.018518519;-0.020558003;NA;-0.014306152;0;0.007215007;NA;0.023076923;NA;NA;-0.031201248;NA;0;-0.02827381;-0.024780176;0;NA;0.003910615;-0.04;NA;NA;0;NA;0.013513514;NA;0.063328424;0.014615385;NA;NA;NA;NA;0.00102145;NA;NA;-0.013100437;-0.022063208;0.029345372;NA;0.002141328;NA;-0.006055363;-0.005291005;NA;NA;NA;0.058614565;NA;-0.026805361;0.016129032;NA;-0.02349486;0;NA;-0.050237812;NA;-0.070695553;0;0.011288805
2;2004;0.018867925;0.014992504;NA;0.007256894;0;0.021489971;NA;0.045112782;NA;NA;0.012882448;NA;0;0.053598775;-0.017213115;0;NA;-0.012242627;0.048611111;NA;NA;0;NA;0.013333333;NA;0.034626039;0.061410159;NA;NA;NA;NA;0.020408163;NA;NA;-0.003539823;0.092682927;-0.019736842;NA;0;NA;0.054830287;0;NA;NA;NA;0.013422819;NA;0.01336074;0.009259259;NA;0.058646617;0;NA;0.040062598;NA;0.006134969;0.016835017;0.023255814
2;2004;-0.013888889;-0.064992614;NA;-0.023054755;0;-0.014025245;NA;-0.028776978;NA;NA;-0.00317965;NA;0;-0.068313953;-0.06588824;0;NA;0.002816901;-0.01986755;NA;NA;0;NA;-0.013157895;NA;-0.044176707;0.025714286;NA;NA;NA;NA;-0.021;NA;NA;-0.023090586;-0.032366071;-0.031319911;NA;-0.047008547;NA;0.010726073;-0.026595745;NA;NA;NA;-0.014900662;NA;-0.028397566;0.0327654;NA;-0.035511364;0;NA;-0.003912128;NA;-0.036585366;-0.023178808;-0.014545455
2;2004;0;-0.034755134;NA;-0.020648968;0;-0.024182077;NA;0.022222222;NA;NA;-0.03030303;NA;0;-0.062402496;-0.107142857;0;NA;-0.038764045;0;NA;NA;0;NA;-0.013333333;NA;-0.030812325;-0.036211699;NA;NA;NA;NA;-0.007150153;NA;NA;-0.031818182;-0.01384083;-0.032332564;NA;0.016816143;NA;-0.028571429;-0.032786885;NA;NA;NA;0.008403361;NA;-0.039665971;0;NA;-0.036818851;0;NA;0.025679758;NA;-0.034810127;-0.027118644;-0.019372694
2;2004;-0.004694836;0.063829787;NA;0.049698795;0;0.034985423;NA;-0.014492754;NA;NA;0.059210526;NA;0;0.076539101;0.02;0;NA;0.016949153;0.006756757;NA;NA;0;NA;0.027027027;NA;0.060693642;-0.01517341;NA;NA;NA;NA;0.049382716;NA;NA;0.051643192;0.03625731;0.023866348;NA;0;NA;-0.009243697;0.033898305;NA;NA;NA;0.041666667;NA;0.043478261;0.031725888;NA;0.016819572;0;NA;0.010309278;NA;0.029508197;0.020905923;0.039510818
2;2004;0.009433962;0.02;NA;0.024390244;0;-0.001408451;NA;0.007352941;NA;NA;0.00310559;NA;0;0.057187017;-0.06372549;0;NA;-0.012643678;0;NA;NA;0;NA;0.013157895;NA;-0.054495913;0.027879677;NA;NA;NA;NA;-0.000980392;NA;NA;-0.025;0.022573363;0.016317016;NA;0.023153252;NA;-0.003392706;0;NA;NA;NA;0.0208;NA;0.020833333;-0.008610086;NA;0.027067669;0;NA;0.002915452;NA;-0.003184713;-0.006825939;0.013574661
2;2004;-0.014018692;-0.007541478;NA;-0.007002801;0;-0.002820874;NA;-0.02189781;NA;NA;0.021671827;NA;0;0.021929825;-0.035602094;0;NA;-0.019208382;-0.006711409;NA;NA;0;NA;0;NA;0.018731988;0.02426838;NA;NA;NA;NA;0.029440628;NA;NA;0;-0.020419426;0.004587156;NA;0;NA;0.036595745;0;NA;NA;NA;-0.039184953;NA;0.034693878;0;NA;0.017569546;0;NA;-0.013081395;NA;-0.003194888;-0.006872852;0.021428571
2;2004;0.037914692;0.034954407;NA;0.035260931;0;0.052333805;NA;0.029850746;NA;NA;0.031818182;NA;0;0.068669528;0.008686211;0;NA;0.035608309;0.027027027;NA;NA;0;NA;0.045454545;NA;0.041018388;0.01533101;NA;NA;NA;NA;0.039084843;NA;NA;0.094322344;0.054084507;0.057077626;NA;0;NA;0.018062397;0.06010929;NA;NA;NA;0.050570962;NA;0.020512821;0.03101737;NA;0.04028777;0;NA;0.013254786;NA;0.081410256;0.055363322;0.036713287
